CMRR (modelFiles=nom) X,CMRR (modelFiles=nom) Y,CMRR (modelFiles=spectre.scs:fs) X,CMRR (modelFiles=spectre.scs:fs) Y,CMRR (modelFiles=spectre.scs:sf) X,CMRR (modelFiles=spectre.scs:sf) Y,CMRR (modelFiles=spectre.scs:ff) X,CMRR (modelFiles=spectre.scs:ff) Y,CMRR (modelFiles=spectre.scs:ss) X,CMRR (modelFiles=spectre.scs:ss) Y
0.1,399.8583595140078,0.1,399.8583595140078,0.1,399.8583595140078,0.1,270.9291068053647,0.1,407.0406501680952
0.10023052380779,409.4007846084011,0.10023052380779,409.4007846084011,0.10023052380779,409.4007846084011,0.10023052380779,276.9518280740432,0.10023052380779,407.0406501680952
0.1004615790278395,403.3801846951214,0.1004615790278395,403.3801846951214,0.1004615790278395,403.3801846951214,0.1004615790278395,276.9518280740434,0.1004615790278395,298.6698517289819
0.1006931668851804,270.9269866029695,0.1006931668851804,270.9269866029695,0.1006931668851804,270.9269866029695,0.1006931668851804,276.9518280740432,0.1006931668851804,298.6698517289819
0.1009252886076684,276.9475865162484,0.1009252886076684,276.9475865162484,0.1009252886076684,276.9475865162484,0.1009252886076684,276.9518280740425,0.1009252886076684,409.5394249002612
0.1011579454259898,403.3801846951214,0.1011579454259898,403.3801846951214,0.1011579454259898,403.3801846951214,0.1011579454259898,276.9518280740434,0.1011579454259898,298.6698517289632
0.1013911385736679,276.9475865162493,0.1013911385736679,276.9475865162493,0.1013911385736679,276.9475865162493,0.1013911385736679,270.9291068053649,0.1013911385736679,406.0175997191476
0.1016248692870695,276.9475865162471,0.1016248692870695,276.9475865162471,0.1016248692870695,276.9475865162471,0.1016248692870695,276.9518280740433,0.1016248692870695,298.6698517290137
0.1018591388054117,276.9475865162493,0.1018591388054117,276.9475865162493,0.1018591388054117,276.9475865162493,0.1018591388054117,276.95182807404,0.1018591388054117,407.0406501680952
0.1020939483707679,403.3801846951214,0.1020939483707679,403.3801846951214,0.1020939483707679,403.3801846951214,0.1020939483707679,276.9518280740435,0.1020939483707679,409.5394249002612
0.1023292992280754,276.9475865162471,0.1023292992280754,276.9475865162471,0.1023292992280754,276.9475865162471,0.1023292992280754,343.1741819923561,0.1023292992280754,298.6698517290265
0.1025651926251407,276.9475865162484,0.1025651926251407,276.9475865162484,0.1025651926251407,276.9475865162484,0.1025651926251407,276.9518280740431,0.1025651926251407,408.200489107649
0.1028016298126473,403.3801846951214,0.1028016298126473,403.3801846951214,0.1028016298126473,403.3801846951214,0.1028016298126473,343.1741841927076,0.1028016298126473,298.6698517289425
0.1030386120441615,276.9475865162491,0.1030386120441615,276.9475865162491,0.1030386120441615,276.9475865162491,0.1030386120441615,343.1741848843661,0.1030386120441615,408.200489107649
0.1032761405761397,276.9475865162491,0.1032761405761397,276.9475865162491,0.1032761405761397,276.9475865162491,0.1032761405761397,270.9248656482308,0.1032761405761397,298.6698517290137
0.1035142166679343,6400.000087204347,0.1035142166679343,6400.000087204347,0.1035142166679343,6400.000087204347,0.1035142166679343,276.9433457592697,0.1035142166679343,408.200489107649
0.1037528415818012,276.9475865162493,0.1037528415818012,276.9475865162493,0.1037528415818012,276.9475865162493,0.1037528415818012,343.1741829473588,0.1037528415818012,406.0175997191477
0.1039920165829058,276.9475865162491,0.1039920165829058,276.9475865162491,0.1039920165829058,276.9475865162491,0.1039920165829058,343.1741848920202,0.1039920165829058,298.6698517290137
0.1042317429393303,276.9475865162471,0.1042317429393303,276.9475865162471,0.1042317429393303,276.9475865162471,0.1042317429393303,343.1741823469605,0.1042317429393303,409.5394249002613
0.1044720219220799,276.9475865162471,0.1044720219220799,276.9475865162471,0.1044720219220799,276.9475865162471,0.1044720219220799,343.1741849254678,0.1044720219220799,292.6492518157703
0.1047128548050898,276.9475865162491,0.1047128548050898,276.9475865162491,0.1047128548050898,276.9475865162491,0.1047128548050898,276.9518280740435,0.1047128548050898,411.1230498212138
