(VT("/net22") - VT("/net30")) (modelFiles=nom) X,(VT("/net22") - VT("/net30")) (modelFiles=nom) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:fs) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:fs) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:sf) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:sf) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ff) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ff) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ss) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ss) Y
0,1.110223024625157e-15,0,1.110223024625157e-15,0,1.110223024625157e-15,0,0,0,0
3e-09,1.669772993206919e-07,3e-09,1.669772993206919e-07,3e-09,1.669772993206919e-07,3e-09,1.706949412927372e-07,3e-09,1.630192361101734e-07
9e-09,1.786966286720926e-06,9e-09,1.786966286720926e-06,9e-09,1.786966286720926e-06,9e-09,1.822978085153082e-06,9e-09,1.749072187973155e-06
2.1e-08,7.662969000010733e-06,2.1e-08,7.662969000010733e-06,2.1e-08,7.662969000010733e-06,2.1e-08,7.811227481502314e-06,2.1e-08,7.507840084963746e-06
4.499999999999999e-08,2.881099130136455e-05,4.499999999999999e-08,2.881099130136455e-05,4.499999999999999e-08,2.881099130136455e-05,4.499999999999999e-08,2.933804642957227e-05,4.499999999999999e-08,2.826323469462544e-05
9.299999999999999e-08,7.647362556673087e-05,9.299999999999999e-08,7.647362556673087e-05,9.299999999999999e-08,7.647362556673087e-05,9.299999999999999e-08,7.778402935088025e-05,9.299999999999999e-08,7.511482841060513e-05
1.53e-07,0.0001293651299936194,1.53e-07,0.0001293651299936194,1.53e-07,0.0001293651299936194,1.53e-07,0.0001314271443555448,1.53e-07,0.0001272237860046044
2.13e-07,0.0001756470863003567,2.13e-07,0.0001756470863003567,2.13e-07,0.0001756470863003567,2.13e-07,0.0001782500567022449,2.13e-07,0.0001729383391895212
2.73e-07,0.0002161499621533558,2.73e-07,0.0002161499621533558,2.73e-07,0.0002161499621533558,2.73e-07,0.0002191252805872068,2.73e-07,0.0002130465265166581
3.33e-07,0.0002515968625722564,3.33e-07,0.0002515968625722564,3.33e-07,0.0002515968625722564,3.33e-07,0.0002548090124434577,3.33e-07,0.0002482384358677425
3.93e-07,0.0002826120982091229,3.93e-07,0.0002826120982091229,3.93e-07,0.0002826120982091229,3.93e-07,0.0002859545089606286,3.93e-07,0.000279108911749093
4.53e-07,0.0003097612696201235,4.53e-07,0.0003097612696201235,4.53e-07,0.0003097612696201235,4.53e-07,0.0003131498369028929,4.53e-07,0.0003062009995198345
5.13e-07,0.000333510597657849,5.13e-07,0.000333510597657849,5.13e-07,0.000333510597657849,5.13e-07,0.0003368808807804324,5.13e-07,0.0003299607136211247
5.730000000000001e-07,0.0003543051285535004,5.730000000000001e-07,0.0003543051285535004,5.730000000000001e-07,0.0003543051285535004,5.730000000000001e-07,0.0003576077281148837,5.730000000000001e-07,0.000350817895812483
6.330000000000001e-07,0.0003724900735795345,6.330000000000001e-07,0.0003724900735795345,6.330000000000001e-07,0.0003724900735795345,6.330000000000001e-07,0.0003756887100798689,6.330000000000001e-07,0.0003691041351623348
6.930000000000002e-07,0.0003884179774049645,6.930000000000002e-07,0.0003884179774049645,6.930000000000002e-07,0.0003884179774049645,6.930000000000002e-07,0.0003914862752476544,6.930000000000002e-07,0.0003851618852299676
7.530000000000002e-07,0.0004023416615752673,7.530000000000002e-07,0.0004023416615752673,7.530000000000002e-07,0.0004023416615752673,7.530000000000002e-07,0.0004052617789769286,7.530000000000002e-07,0.0003992350032833158
8.130000000000003e-07,0.0004145424566943667,8.130000000000003e-07,0.0004145424566943667,8.130000000000003e-07,0.0004145424566943667,8.130000000000003e-07,0.0004173029434126896,8.130000000000003e-07,0.0004115982437828958
8.730000000000004e-07,0.0004252028854536682,8.730000000000004e-07,0.0004252028854536682,8.730000000000004e-07,0.0004252028854536682,8.730000000000004e-07,0.0004277976339983613,8.730000000000004e-07,0.0004224284394549471
9.330000000000004e-07,0.0004345492102852955,9.330000000000004e-07,0.0004345492102852955,9.330000000000004e-07,0.0004345492102852955,9.330000000000004e-07,0.000436976139462697,9.330000000000004e-07,0.0004319476559591084
9.930000000000005e-07,0.0004427107125641871,9.930000000000005e-07,0.0004427107125641871,9.930000000000005e-07,0.0004427107125641871,9.930000000000005e-07,0.0004449708822140686,9.930000000000005e-07,0.0004402817700974726
1.053000000000001e-06,0.0004498708330920032,1.053000000000001e-06,0.0004498708330920032,1.053000000000001e-06,0.0004498708330920032,1.053000000000001e-06,0.0004519677667413902,1.053000000000001e-06,0.0004476116064342506
1.113000000000001e-06,0.0004561187744669404,1.113000000000001e-06,0.0004561187744669404,1.113000000000001e-06,0.0004561187744669404,1.113000000000001e-06,0.0004580576343500287,1.113000000000001e-06,0.0004540245424711209
1.173000000000001e-06,0.0004616044473051417,1.173000000000001e-06,0.0004616044473051417,1.173000000000001e-06,0.0004616044473051417,1.173000000000001e-06,0.0004633918530443371,1.173000000000001e-06,0.0004596688957323458
