PSRR (modelFiles=nom) X,PSRR (modelFiles=nom) Y,PSRR (modelFiles=spectre.scs:fs) X,PSRR (modelFiles=spectre.scs:fs) Y,PSRR (modelFiles=spectre.scs:sf) X,PSRR (modelFiles=spectre.scs:sf) Y,PSRR (modelFiles=spectre.scs:ff) X,PSRR (modelFiles=spectre.scs:ff) Y,PSRR (modelFiles=spectre.scs:ss) X,PSRR (modelFiles=spectre.scs:ss) Y
0.1,276.9475865162468,0.1,276.9475865162468,0.1,276.9475865162468,0.1,276.9475858812148,0.1,415.5600248135408
0.10023052380779,276.9475865162482,0.10023052380779,276.9475865162482,0.10023052380779,276.9475865162482,0.10023052380779,264.9063860546583,0.10023052380779,431.1230498212137
0.1004615790278395,267.405161421856,0.1004615790278395,267.405161421856,0.1004615790278395,267.405161421856,0.1004615790278395,276.9475858812172,0.1004615790278395,6331.413353717965
0.1006931668851804,276.9475865162493,0.1006931668851804,276.9475865162493,0.1006931668851804,276.9475865162493,0.1006931668851804,264.9063860546583,0.1006931668851804,417.1436497344934
0.1009252886076684,270.9269866029693,0.1009252886076684,270.9269866029693,0.1009252886076684,270.9269866029693,0.1009252886076684,276.9475858812178,0.1009252886076684,421.5806247268205
0.1011579454259898,270.9269866029691,0.1011579454259898,270.9269866029691,0.1011579454259898,270.9269866029691,0.1011579454259898,6400.000086569315,0.1011579454259898,421.5806247268205
0.1013911385736679,407.0242694150765,0.1013911385736679,407.0242694150765,0.1013911385736679,407.0242694150765,0.1013911385736679,267.4051607868245,0.1013911385736679,413.0612500813749
0.1016248692870695,264.90638668969,0.1016248692870695,264.90638668969,0.1016248692870695,264.90638668969,0.1016248692870695,276.9475858812138,0.1016248692870695,414.2210890209286
0.1018591388054117,276.9475865162472,0.1018591388054117,276.9475865162472,0.1018591388054117,276.9475865162472,0.1018591388054117,409.4007839733695,0.1018591388054117,417.1436497344934
0.1020939483707679,276.9475865162485,0.1020939483707679,276.9475865162485,0.1020939483707679,276.9475865162485,0.1020939483707679,405.8789587922559,0.1020939483707679,425.1024499079341
0.1023292992280754,398.9835944331067,0.1023292992280754,398.9835944331067,0.1023292992280754,398.9835944331067,0.1023292992280754,276.9475858812162,0.1023292992280754,425.1024499079341
0.1025651926251407,407.6651098198668,0.1025651926251407,407.6651098198668,0.1025651926251407,407.6651098198668,0.1025651926251407,276.9475858812175,0.1025651926251407,413.0612500813749
0.1028016298126473,276.9475865162493,0.1028016298126473,276.9475865162493,0.1028016298126473,276.9475865162493,0.1028016298126473,415.4213838866492,0.1028016298126473,421.5806247268205
0.1030386120441615,276.9475865162493,0.1030386120441615,276.9475865162493,0.1030386120441615,276.9475865162493,0.1030386120441615,276.9475858812177,0.1030386120441615,414.2210890209286
0.1032761405761397,276.9475865162493,0.1032761405761397,276.9475865162493,0.1032761405761397,276.9475865162493,0.1032761405761397,276.9475858812162,0.1032761405761397,431.1230498212137
0.1035142166679343,276.9475865162493,0.1035142166679343,276.9475865162493,0.1035142166679343,276.9475865162493,0.1035142166679343,276.9475858812177,0.1035142166679343,412.0381996324273
