"v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=1000000) X","v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=1000000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=1000000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=1000000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=1000000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=1000000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ff,R2=100000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ff,R2=100000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ff,R2=1000000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ff,R2=1000000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ss,R2=100000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ss,R2=100000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ss,R2=1000000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ss,R2=1000000) Y"
0.1,-0.0001607567060899265,0.1,-0.0001607567060899265,0.1,-0.0001607567060899265,0.1,-1.594370043744187e-05,0.1,-0.0001578272666149543,0.1,-1.655607773254626e-05,0.1,-0.0001638929110226874
0.1659586907437561,-0.0002667897247060883,0.1659586907437561,-0.0002667897247060883,0.1659586907437561,-0.0002667897247060883,0.1659586907437561,-2.645995649976977e-05,0.1659586907437561,-0.0002619280653073593,0.1659586907437561,-2.747624984113691e-05,0.1659586907437561,-0.0002719945293514661
0.2754228703338167,-0.0004427607341531695,0.2754228703338167,-0.0004427607341531695,0.2754228703338167,-0.0004427607341531695,0.2754228703338167,-4.391259737606578e-05,0.2754228703338167,-0.0004346923878669192,0.2754228703338167,-4.559922449951406e-05,0.2754228703338167,-0.0004513985597980736
0.4570881896148751,-0.0007347999175000777,0.4570881896148751,-0.0007347999175000777,0.4570881896148751,-0.0007347999175000777,0.4570881896148751,-7.287677167455674e-05,0.4570881896148751,-0.0007214097956401223,0.4570881896148751,-7.567587596635751e-05,0.4570881896148751,-0.0007491351398475585
0.7585775750291839,-0.001219464322549769,0.7585775750291839,-0.001219464322549769,0.7585775750291839,-0.001219464322549769,0.7585775750291839,-0.0001209453361249827,0.7585775750291839,-0.001197242251628286,0.7585775750291839,-0.0001255906929601939,0.7585775750291839,-0.001243254869865859
1.258925411794168,-0.002023807023252585,1.258925411794168,-0.002023807023252585,1.258925411794168,-0.002023807023252585,1.258925411794168,-0.0002007192963458208,1.258925411794168,-0.001986927565323907,1.258925411794168,-0.0002084286697298504,1.258925411794168,-0.002063289504067163
2.08929613085404,-0.00335868363651826,2.08929613085404,-0.00335868363651826,2.08929613085404,-0.00335868363651826,2.08929613085404,-0.0003331111162809066,2.08929613085404,-0.003297478971117915,2.08929613085404,-0.0003459054914133047,2.08929613085404,-0.003424208244605118
3.467368504525318,-0.005574027378191346,3.467368504525318,-0.005574027378191346,3.467368504525318,-0.005574027378191346,3.467368504525318,-0.0005528268472884942,3.467368504525318,-0.005472452917419831,3.467368504525318,-0.0005740602247457639,3.467368504525318,-0.005682771159219149
5.754399373371571,-0.009250582807363222,5.754399373371571,-0.009250582807363222,5.754399373371571,-0.009250582807363222,5.754399373371571,-0.0009174641977878561,5.754399373371571,-0.009082011164883877,5.754399373371571,-0.0009527028330106635,5.754399373371571,-0.009431052559568302
9.549925860214364,-0.01535214587933,9.549925860214364,-0.01535214587933,9.549925860214364,-0.01535214587933,9.549925860214364,-0.001522611570461493,9.549925860214364,-0.01507238660106263,9.549925860214364,-0.001581093148086005,9.549925860214364,-0.01565165110331896
15.84893192461114,-0.02547821923311756,15.84893192461114,-0.02547821923311756,15.84893192461114,-0.02547821923311756,15.84893192461114,-0.002526906226408072,15.84893192461114,-0.02501393445506549,15.84893192461114,-0.002623961486835557,15.84893192461114,-0.02597527411775338
26.30267991895383,-0.04228331417651704,26.30267991895383,-0.04228331417651704,26.30267991895383,-0.04228331417651704,26.30267991895383,-0.004193620484911223,26.30267991895383,-0.04151279349988339,26.30267991895383,-0.004354692123845766,26.30267991895383,-0.0431082196636899
43.65158322401662,-0.0701728122698515,43.65158322401662,-0.0701728122698515,43.65158322401662,-0.0701728122698515,43.65158322401662,-0.006959677629780298,43.65158322401662,-0.06889406744214287,43.65158322401662,-0.007226990010315438,43.65158322401662,-0.07154181328315623
72.44359600749904,-0.1164577783852624,72.44359600749904,-0.1164577783852624,72.44359600749904,-0.1164577783852624,72.44359600749904,-0.0115501897750053,72.44359600749904,-0.114335595692363,72.44359600749904,-0.01199381789005241,72.44359600749904,-0.118729748449879
120.2264434617413,-0.1932713375206997,120.2264434617413,-0.1932713375206997,120.2264434617413,-0.1932713375206997,120.2264434617413,-0.01916854327484443,120.2264434617413,-0.1897494159616787,120.2264434617413,-0.01990478263202306,120.2264434617413,-0.197041841442404
199.526231496888,-0.3207484478771632,199.526231496888,-0.3207484478771632,199.526231496888,-0.3207484478771632,199.526231496888,-0.03181186137761705,199.526231496888,-0.3149036274814322,199.526231496888,-0.03303371432721897,199.526231496888,-0.3270057995171163
331.1311214825913,-0.5323001733447579,331.1311214825913,-0.5323001733447579,331.1311214825913,-0.5323001733447579,331.1311214825913,-0.05279453915453322,331.1311214825913,-0.5226007093249361,331.1311214825913,-0.05482230917750263,331.1311214825913,-0.5426842103593642
549.5408738576248,-0.883353831835341,549.5408738576248,-0.883353831835341,549.5408738576248,-0.883353831835341,549.5408738576248,-0.08761708259212313,549.5408738576248,-0.8672591201864149,549.5408738576248,-0.09098233798557968,549.5408738576248,-0.9005843847382391
912.0108393559101,-1.465798814374823,912.0108393559101,-1.465798814374823,912.0108393559101,-1.465798814374823,912.0108393559101,-0.1454079648858497,912.0108393559101,-1.439099168398004,912.0108393559101,-0.1509928749636087,912.0108393559101,-1.494382267568712
1513.561248436209,-2.431690581847677,1513.561248436209,-2.431690581847677,1513.561248436209,-2.431690581847677,1513.561248436209,-0.241316248583981,1513.561248436209,-2.3874300672184,1513.561248436209,-0.2505847838388038,1513.561248436209,-2.479071873361645
2511.886431509581,-4.031362162928724,2511.886431509581,-4.031362162928724,2511.886431509581,-4.031362162928724,2511.886431509581,-0.4004811447758223,2511.886431509581,-3.958134973932626,2511.886431509581,-0.4158625891223076,2511.886431509581,-4.109743263854523
4168.693834703356,-6.671153373649434,4168.693834703356,-6.671153373649434,4168.693834703356,-6.671153373649434,4168.693834703356,-0.6646143336148931,4168.693834703356,-6.550652057970089,4168.693834703356,-0.6901389130674016,4168.693834703356,-6.800094296375108
6918.309709189368,-10.98508094563767,6918.309709189368,-10.98508094563767,6918.309709189368,-10.98508094563767,6918.309709189368,-1.10289873218278,6918.309709189368,-10.78964111121414,6918.309709189368,-1.14524864411137,6918.309709189368,-11.19402914444819
11481.53621496883,-17.8560721259825,11481.53621496883,-17.8560721259825,11481.53621496883,-17.8560721259825,11481.53621496883,-1.829961058845212,11481.53621496883,-17.55081950034024,11481.53621496883,-1.900197171531872,11481.53621496883,-18.18171423087236
19054.60717963248,-28.13061212774824,19054.60717963248,-28.13061212774824,19054.60717963248,-28.13061212774824,19054.60717963248,-3.035175466204537,19054.60717963248,-27.69470250851768,19054.60717963248,-3.151522985463248,19054.60717963248,-28.59339739211905
31622.77660168381,-41.58334567855287,31622.77660168381,-41.58334567855287,31622.77660168381,-41.58334567855287,31622.77660168381,-5.028924829736741,31622.77660168381,-41.06072666591761,31622.77660168381,-5.221035830178331,31622.77660168381,-42.13365153667117
52480.74602497728,-55.8242241762698,52480.74602497728,-55.8242241762698,52480.74602497728,-55.8242241762698,52480.74602497728,-8.308808330201666,52480.74602497728,-55.33261929055984,52480.74602497728,-8.623247721707806,52480.74602497728,-56.33716566197339
87096.35899560811,-67.75697576256637,87096.35899560811,-67.75697576256637,87096.35899560811,-67.75697576256637,87096.35899560811,-13.62443430130136,87096.35899560811,-67.38480807479947,87096.35899560811,-14.12722763805014,87096.35899560811,-68.14284787840457
144543.9770745928,-76.17071132674782,144543.9770745928,-76.17071132674782,144543.9770745928,-76.17071132674782,144543.9770745928,-21.91422479051372,144543.9770745928,-75.92312375359595,144543.9770745928,-22.67245684196015,144543.9770745928,-76.42670099240188
239883.2919019492,-81.58727616234994,239883.2919019492,-81.58727616234994,239883.2919019492,-81.58727616234994,239883.2919019492,-33.73549240726888,239883.2919019492,-81.43166695921083,239883.2919019492,-34.74112423111892,239883.2919019492,-81.74815093012182
398107.1705534975,-84.94861812034317,398107.1705534975,-84.94861812034317,398107.1705534975,-84.94861812034317,398107.1705534975,-47.96207796648433,398107.1705534975,-84.85240075248501,398107.1705534975,-49.03741619120364,398107.1705534975,-85.04837737242316
660693.4480075964,-87.01974080097092,660693.4480075964,-87.01974080097092,660693.4480075964,-87.01974080097092,660693.4480075964,-61.53646219859063,660693.4480075964,-86.9595930601683,660693.4480075964,-62.44036043266178,660693.4480075964,-87.08264663519513
