"v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=100000) X","v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=100000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=100000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=100000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=100000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=100000) Y"
0.1,-1.62393559995914e-05,0.1,-1.62393559995914e-05,0.1,-1.62393559995914e-05
0.1659586907437561,-2.695062259982414e-05,0.1659586907437561,-2.695062259982414e-05,0.1659586907437561,-2.695062259982414e-05
0.2754228703338167,-4.472690041163918e-05,0.2754228703338167,-4.472690041163918e-05,0.2754228703338167,-4.472690041163918e-05
0.4570881896148751,-7.422817833107962e-05,0.4570881896148751,-7.422817833107962e-05,0.4570881896148751,-7.422817833107962e-05
0.7585775750291839,-0.0001231881129187656,0.7585775750291839,-0.0001231881129187656,0.7585775750291839,-0.0001231881129187656
1.258925411794168,-0.0002044413793490579,1.258925411794168,-0.0002044413793490579,1.258925411794168,-0.0002044413793490579
2.08929613085404,-0.0003392882365013399,2.08929613085404,-0.0003392882365013399,2.08929613085404,-0.0003392882365013399
3.467368504525318,-0.000563078315131376,3.467368504525318,-0.000563078315131376,3.467368504525318,-0.000563078315131376
5.754399373371571,-0.0009344773995990995,5.754399373371571,-0.0009344773995990995,5.754399373371571,-0.0009344773995990995
9.549925860214364,-0.001550846457428133,9.549925860214364,-0.001550846457428133,9.549925860214364,-0.001550846457428133
15.84893192461114,-0.002573764475091964,15.84893192461114,-0.002573764475091964,15.84893192461114,-0.002573764475091964
26.30267991895383,-0.004271385820663114,26.30267991895383,-0.004271385820663114,26.30267991895383,-0.004271385820663114
43.65158322401662,-0.00708873596161548,43.65158322401662,-0.00708873596161548,43.65158322401662,-0.00708873596161548
72.44359600749904,-0.01176437328718725,72.44359600749904,-0.01176437328718725,72.44359600749904,-0.01176437328718725
120.2264434617413,-0.01952399940172828,120.2264434617413,-0.01952399940172828,120.2264434617413,-0.01952399940172828
199.526231496888,-0.03240177159438823,199.526231496888,-0.03240177159438823,199.526231496888,-0.03240177159438823
331.1311214825913,-0.05377354588943512,331.1311214825913,-0.05377354588943512,331.1311214825913,-0.05377354588943512
549.5408738576248,-0.08924182689520339,549.5408738576248,-0.08924182689520339,549.5408738576248,-0.08924182689520339
912.0108393559101,-0.1481043580310682,912.0108393559101,-0.1481043580310682,912.0108393559101,-0.1481043580310682
1513.561248436209,-0.2457910960235416,1513.561248436209,-0.2457910960235416,1513.561248436209,-0.2457910960235416
2511.886431509581,-0.4079073084246769,2511.886431509581,-0.4079073084246769,2511.886431509581,-0.4079073084246769
4168.693834703356,-0.6769376254934852,4168.693834703356,-0.6769376254934852,4168.693834703356,-0.6769376254934852
6918.309709189368,-1.123345407267284,6918.309709189368,-1.123345407267284,6918.309709189368,-1.123345407267284
11481.53621496883,-1.863871721555895,11481.53621496883,-1.863871721555895,11481.53621496883,-1.863871721555895
19054.60717963248,-3.091351153362595,19054.60717963248,-3.091351153362595,19054.60717963248,-3.091351153362595
