"v (/net11 /net10); ac dB20(V) (modelFiles=nom,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=nom,R2=10000) Y","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:fs,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:fs,R2=10000) Y","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:sf,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:sf,R2=10000) Y","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:ff,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:ff,R2=10000) Y","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:ss,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:ss,R2=10000) Y"
0.1,26.02049244293102,0.1,26.02049244293102,0.1,26.02049244293102,0.1,26.02048645935708,0.1,26.02049695254166
0.1659586907437561,26.02049244293102,0.1659586907437561,26.02049244293102,0.1659586907437561,26.02049244293102,0.1659586907437561,26.02048645935707,0.1659586907437561,26.02049695254165
0.2754228703338167,26.02049244293099,0.2754228703338167,26.02049244293099,0.2754228703338167,26.02049244293099,0.2754228703338167,26.02048645935707,0.2754228703338167,26.02049695254163
0.4570881896148751,26.02049244293094,0.4570881896148751,26.02049244293094,0.4570881896148751,26.02049244293094,0.4570881896148751,26.020486459357,0.4570881896148751,26.02049695254157
0.7585775750291839,26.02049244293079,0.7585775750291839,26.02049244293079,0.7585775750291839,26.02049244293079,0.7585775750291839,26.02048645935686,0.7585775750291839,26.02049695254141
1.258925411794168,26.02049244293037,1.258925411794168,26.02049244293037,1.258925411794168,26.02049244293037,1.258925411794168,26.02048645935646,1.258925411794168,26.02049695254098
2.08929613085404,26.02049244292922,2.08929613085404,26.02049244292922,2.08929613085404,26.02049244292922,2.08929613085404,26.02048645935535,2.08929613085404,26.02049695253979
3.467368504525318,26.02049244292606,3.467368504525318,26.02049244292606,3.467368504525318,26.02049244292606,3.467368504525318,26.0204864593523,3.467368504525318,26.0204969525365
5.754399373371571,26.02049244291734,5.754399373371571,26.02049244291734,5.754399373371571,26.02049244291734,5.754399373371571,26.02048645934389,5.754399373371571,26.02049695252744
9.549925860214364,26.02049244289332,9.549925860214364,26.02049244289332,9.549925860214364,26.02049244289332,9.549925860214364,26.02048645932074,9.549925860214364,26.02049695250248
15.84893192461114,26.02049244282718,15.84893192461114,26.02049244282718,15.84893192461114,26.02049244282718,15.84893192461114,26.02048645925698,15.84893192461114,26.02049695243375
26.30267991895383,26.02049244264501,26.30267991895383,26.02049244264501,26.30267991895383,26.02049244264501,26.30267991895383,26.02048645908137,26.30267991895383,26.02049695224444
43.65158322401662,26.02049244214328,43.65158322401662,26.02049244214328,43.65158322401662,26.02049244214328,43.65158322401662,26.0204864585977,43.65158322401662,26.02049695172303
72.44359600749904,26.02049244076138,72.44359600749904,26.02049244076138,72.44359600749904,26.02049244076138,72.44359600749904,26.02048645726556,72.44359600749904,26.02049695028694
120.2264434617413,26.02049243695531,120.2264434617413,26.02049243695531,120.2264434617413,26.02049243695531,120.2264434617413,26.02048645359653,120.2264434617413,26.02049694633166
199.526231496888,26.02049242647253,199.526231496888,26.02049242647253,199.526231496888,26.02049242647253,199.526231496888,26.0204864434912,199.526231496888,26.02049693543788
331.1311214825913,26.02049239760055,331.1311214825913,26.02049239760055,331.1311214825913,26.02049239760055,331.1311214825913,26.0204864156588,331.1311214825913,26.02049690543393
549.5408738576248,26.02049231808053,549.5408738576248,26.02049231808053,549.5408738576248,26.02049231808053,549.5408738576248,26.02048633900201,549.5408738576248,26.02049682279621
912.0108393559101,26.02049209906421,912.0108393559101,26.02049209906421,912.0108393559101,26.02049209906421,912.0108393559101,26.02048612787168,912.0108393559101,26.02049659519303
1513.561248436209,26.02049149584325,1513.561248436209,26.02049149584325,1513.561248436209,26.02049149584325,1513.561248436209,26.02048554637054,1513.561248436209,26.02049596832187
2511.886431509581,26.02048983443519,2511.886431509581,26.02048983443519,2511.886431509581,26.02048983443519,2511.886431509581,26.02048394478377,2511.886431509581,26.02049424177581
4168.693834703356,26.02048525854071,4168.693834703356,26.02048525854071,4168.693834703356,26.02048525854071,4168.693834703356,26.02047953365063,4168.693834703356,26.02048948647665
6918.309709189368,26.02047265550581,6918.309709189368,26.02047265550581,6918.309709189368,26.02047265550581,6918.309709189368,26.02046738440435,6918.309709189368,26.02047638932223
11481.53621496883,26.0204379440551,11481.53621496883,26.0204379440551,11481.53621496883,26.0204379440551,11481.53621496883,26.02043392277787,11481.53621496883,26.02044031696846
19054.60717963248,26.02034234222058,19054.60717963248,26.02034234222058,19054.60717963248,26.02034234222058,19054.60717963248,26.02034176314355,19054.60717963248,26.02034096701053
31622.77660168381,26.02007904382187,31622.77660168381,26.02007904382187,31622.77660168381,26.02007904382187,31622.77660168381,26.02008794458084,31622.77660168381,26.02006734629377
52480.74602497728,26.01935394262233,52480.74602497728,26.01935394262233,52480.74602497728,26.01935394262233,52480.74602497728,26.01938894717389,52480.74602497728,26.01931382167549
87096.35899560811,26.0173574759585,87096.35899560811,26.0173574759585,87096.35899560811,26.0173574759585,87096.35899560811,26.01746433202468,87096.35899560811,26.01723912049153
144543.9770745928,26.01186350705585,144543.9770745928,26.01186350705585,144543.9770745928,26.01186350705585,144543.9770745928,26.01216792319936,144543.9770745928,26.01153005495696
239883.2919019492,25.9967678197508,239883.2919019492,25.9967678197508,239883.2919019492,25.9967678197508,239883.2919019492,25.99761383004594,239883.2919019492,25.99584480308529
398107.1705534975,25.95546103962337,398107.1705534975,25.95546103962337,398107.1705534975,25.95546103962337,398107.1705534975,25.95777978824131,398107.1705534975,25.95293561472332
660693.4480075964,25.84368993554576,660693.4480075964,25.84368993554576,660693.4480075964,25.84368993554576,660693.4480075964,25.8499266711607,660693.4480075964,25.83690706222909
1096478.196143186,25.54998642189853,1096478.196143186,25.54998642189853,1096478.196143186,25.54998642189853,1096478.196143186,25.56606636705532,1096478.196143186,25.53254267051545
1819700.858609985,24.83110390754806,1819700.858609985,24.83110390754806,1819700.858609985,24.83110390754806,1819700.858609985,24.86872480328907,1819700.858609985,24.79050369082294
