"v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=1000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=1000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=1000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ff,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ff,R2=1000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ss,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ss,R2=1000) Y"
0.1,-3.479666156285004e-07,0.1,-3.479666156285004e-07,0.1,-3.479666156285004e-07,0.1,-3.412144212131375e-07,0.1,-179.9999997521709
0.1659586907437561,-5.77480837208351e-07,0.1659586907437561,-5.77480837208351e-07,0.1659586907437561,-5.77480837208351e-07,0.1659586907437561,-5.662749837601401e-07,0.1659586907437561,-179.9999995887059
0.2754228703338167,-9.5837963441299e-07,0.2754228703338167,-9.5837963441299e-07,0.2754228703338167,-9.5837963441299e-07,0.2754228703338167,-9.397825467436769e-07,0.2754228703338167,-179.9999993174218
0.4570881896148751,-1.590514291312545e-06,0.4570881896148751,-1.590514291312545e-06,0.4570881896148751,-1.590514291312545e-06,0.4570881896148751,-1.559650808100075e-06,0.4570881896148751,-179.9999988672021
0.7585775750291839,-2.63959669164057e-06,0.7585775750291839,-2.63959669164057e-06,0.7585775750291839,-2.63959669164057e-06,0.7585775750291839,-2.588376058983215e-06,0.7585775750291839,-179.9999981200234
1.258925411794168,-4.380640108048116e-06,1.258925411794168,-4.380640108048116e-06,1.258925411794168,-4.380640108048116e-06,1.258925411794168,-4.295635016699344e-06,1.258925411794168,-179.9999968800154
2.08929613085404,-7.270052967198427e-06,2.08929613085404,-7.270052967198427e-06,2.08929613085404,-7.270052967198427e-06,2.08929613085404,-7.128979630530421e-06,2.08929613085404,-179.9999948221145
3.467368504525318,-1.206528471842595e-05,3.467368504525318,-1.206528471842595e-05,3.467368504525318,-1.206528471842595e-05,3.467368504525318,-1.18311612559032e-05,3.467368504525318,-179.999991406849
5.754399373371571,-2.002338855089145e-05,5.754399373371571,-2.002338855089145e-05,5.754399373371571,-2.002338855089145e-05,5.754399373371571,-1.963484031776499e-05,5.754399373371571,-179.999985738919
9.549925860214364,-3.323055347927844e-05,9.549925860214364,-3.323055347927844e-05,9.549925860214364,-3.323055347927844e-05,9.549925860214364,-3.258572391867368e-05,9.549925860214364,-179.9999763324968
15.84893192461114,-5.514899147878943e-05,15.84893192461114,-5.514899147878943e-05,15.84893192461114,-5.514899147878943e-05,15.84893192461114,-5.407884078248132e-05,15.84893192461114,-179.9999607217215
26.30267991895383,-9.152454421422109e-05,26.30267991895383,-9.152454421422109e-05,26.30267991895383,-9.152454421422109e-05,26.30267991895383,-8.97485361296456e-05,26.30267991895383,-179.9999348142833
43.65158322401662,-0.000151892935284573,43.65158322401662,-0.000151892935284573,43.65158322401662,-0.000151892935284573,43.65158322401662,-0.0001489454955199191,43.65158322401662,-179.9998918186379
72.44359600749904,-0.0002520795267272021,72.44359600749904,-0.0002520795267272021,72.44359600749904,-0.0002520795267272021,72.44359600749904,-0.0002471879942833682,72.44359600749904,-179.9998204636278
120.2264434617413,-0.0004183478821825335,120.2264434617413,-0.0004183478821825335,120.2264434617413,-0.0004183478821825335,120.2264434617413,-0.0004102299589816526,120.2264434617413,-179.9997020437874
199.526231496888,-0.0006942846680006782,199.526231496888,-0.0006942846680006782,199.526231496888,-0.0006942846680006782,199.526231496888,-0.0006808122689418905,199.526231496888,-179.9995055157707
331.1311214825913,-0.001152225744948551,331.1311214825913,-0.001152225744948551,331.1311214825913,-0.001152225744948551,331.1311214825913,-0.001129867127863301,331.1311214825913,-179.9991793604481
549.5408738576248,-0.001912218760280269,549.5408738576248,-0.001912218760280269,549.5408738576248,-0.001912218760280269,549.5408738576248,-0.001875112692117624,549.5408738576248,-179.9986380773482
912.0108393559101,-0.003173493216674315,912.0108393559101,-0.003173493216674315,912.0108393559101,-0.003173493216674315,912.0108393559101,-0.003111912471858676,912.0108393559101,-179.9977397710178
1513.561248436209,-0.005266687783903082,1513.561248436209,-0.005266687783903082,1513.561248436209,-0.005266687783903082,1513.561248436209,-0.00516448918648444,1513.561248436209,-179.9962489536634
