iinteg((getData("/out" ?result "noise")**2)) (modelFiles=nom) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=nom) Y,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:fs) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:fs) Y,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:sf) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:sf) Y,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:ff) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:ff) Y,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:ss) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:ss) Y
0.1,0,0.1,0,0.1,0,0.1,0,0.1,0
0.1659586907437561,1.505699749732693e-19,0.1659586907437561,1.505699749732693e-19,0.1659586907437561,1.505699749732693e-19,0.1659586907437561,1.468701006820646e-19,0.1659586907437561,1.543467100013512e-19
0.2754228703338167,4.004539340679581e-19,0.2754228703338167,4.004539340679581e-19,0.2754228703338167,4.004539340679581e-19,0.2754228703338167,3.906137968153364e-19,0.2754228703338167,4.104984891103172e-19
0.4570881896148751,8.151580809372109e-19,0.4570881896148751,8.151580809372109e-19,0.4570881896148751,8.151580809372109e-19,0.4570881896148751,7.951276436380369e-19,0.4570881896148751,8.356046280218408e-19
0.7585775750291839,1.503395653519665e-18,0.7585775750291839,1.503395653519665e-18,0.7585775750291839,1.503395653519665e-18,0.7585775750291839,1.466453527653756e-18,0.7585775750291839,1.541105210416931e-18
1.258925411794168,2.645585718163376e-18,1.258925411794168,2.645585718163376e-18,1.258925411794168,2.645585718163376e-18,1.258925411794168,2.580577175343718e-18,1.258925411794168,2.711944740136304e-18
2.08929613085404,4.541149395231648e-18,2.08929613085404,4.541149395231648e-18,2.08929613085404,4.541149395231648e-18,2.08929613085404,4.429562194271958e-18,2.08929613085404,4.655054694356535e-18
3.467368504525318,7.687002055889707e-18,3.467368504525318,7.687002055889707e-18,3.467368504525318,7.687002055889707e-18,3.467368504525318,7.498113523690671e-18,3.467368504525318,7.87981453408036e-18
5.754399373371571,1.290781794422794e-17,5.754399373371571,1.290781794422794e-17,5.754399373371571,1.290781794422794e-17,5.754399373371571,1.259064113475317e-17,5.754399373371571,1.323158374370565e-17
9.549925860214364,2.15722156386401e-17,9.549925860214364,2.15722156386401e-17,9.549925860214364,2.15722156386401e-17,9.549925860214364,2.1042133283798e-17,9.549925860214364,2.211330985561765e-17
15.84893192461114,3.595153661310526e-17,15.84893192461114,3.595153661310526e-17,15.84893192461114,3.595153661310526e-17,15.84893192461114,3.506811900262848e-17,15.84893192461114,3.685330622638589e-17
26.30267991895383,5.981526944016189e-17,26.30267991895383,5.981526944016189e-17,26.30267991895383,5.981526944016189e-17,26.30267991895383,5.834546126547572e-17,26.30267991895383,6.131561121898805e-17
43.65158322401662,9.94192080025371e-17,43.65158322401662,9.94192080025371e-17,43.65158322401662,9.94192080025371e-17,43.65158322401662,9.697623372482174e-17,43.65158322401662,1.019129323104652e-16
72.44359600749904,1.651453859236463e-16,72.44359600749904,1.651453859236463e-16,72.44359600749904,1.651453859236463e-16,72.44359600749904,1.61087357922558e-16,72.44359600749904,1.69287714870954e-16
120.2264434617413,2.742236902774971e-16,120.2264434617413,2.742236902774971e-16,120.2264434617413,2.742236902774971e-16,120.2264434617413,2.67485340262268e-16,120.2264434617413,2.811020218998563e-16
199.526231496888,4.552486160686414e-16,199.526231496888,4.552486160686414e-16,199.526231496888,4.552486160686414e-16,199.526231496888,4.440620387310276e-16,199.526231496888,4.66667581909183e-16
331.1311214825913,7.556752128305624e-16,331.1311214825913,7.556752128305624e-16,331.1311214825913,7.556752128305624e-16,331.1311214825913,7.371064156675506e-16,331.1311214825913,7.74629755770795e-16
