(VT("/net4") - VT("/net3")) X,(VT("/net4") - VT("/net3")) Y
2.001440418002268e-05,-0.0005398556856250902
2.002394915030758e-05,-0.0005373829348773729
2.002636014047076e-05,-0.000536755188869531
2.002996813005474e-05,-0.0005358134102648737
2.003301232606115e-05,-0.0005350165986763855
2.003555401477312e-05,-0.0005343497748671044
2.003814120030157e-05,-0.0005336695759221577
2.00395817688624e-05,-0.0005332902086447877
2.00409976236245e-05,-0.0005329169068946094
2.004167629864955e-05,-0.0005327378172268471
2.004238646730079e-05,-0.0005325503093218664
2.004272994291969e-05,-0.0005324595813707145
2.004308932710493e-05,-0.0005323646240191771
2.004338973169518e-05,-0.000532285229003282
2.004365736110479e-05,-0.00053221447982299
2.004396472182007e-05,-0.0005321332083654262
2.004439007309628e-05,-0.0005320207045060865
2.004503618231226e-05,-0.000531849736256973
2.004515923062027e-05,-0.00053181716598516
2.004528786599861e-05,-0.000531783115236717
2.00453578228845e-05,-0.0005317645951907757
2.004543571030539e-05,-0.0005317439738019569
2.00455048906724e-05,-0.0005317256562260564
2.004560826010677e-05,-0.0005316982839271844
2.004569803042349e-05,-0.0005316745107921683
2.004577911005525e-05,-0.0005316530377117434
2.004587163927893e-05,-0.0005316285307086499
2.004597989334177e-05,-0.0005315998566832736
2.0046117591305e-05,-0.0005315633801976638
2.004630528107919e-05,-0.0005315136544701282
2.004658452548621e-05,-0.0005314396589153336
2.004688353210444e-05,-0.0005313604081631507
2.004723242723861e-05,-0.0005312679101661111
2.0047676784638e-05,-0.0005311500652742662
2.004829490020992e-05,-0.0005309860681865786
2.004929021637058e-05,-0.0005307218200389929
2.005081532098653e-05,-0.0005303165038437196
2.005258978581391e-05,-0.0005298442871719544
2.005468531965108e-05,-0.0005292857566778775
2.005728059253874e-05,-0.0005285927218738884
2.006070350246086e-05,-0.000527676468674132
2.006508760294199e-05,-0.0005264992589137929
2.007054213394709e-05,-0.0005250288897253874
2.007747062710043e-05,-0.0005231520538049317
2.008640509204073e-05,-0.0005207167970735505
2.009398459465819e-05,-0.0005186376353152333
2.01e-05,-0.0005169789163803618
