iinteg((getData("/out" ?result "noise")**2)) (modelFiles=nom) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=nom) Y,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:fs) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:fs) Y,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:sf) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:sf) Y,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:ff) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:ff) Y,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:ss) X,iinteg((getData("/out" ?result "noise")**2)) (modelFiles=spectre.scs:ss) Y
0.1,0,0.1,0,0.1,0,0.1,0,0.1,0
0.1659586907437561,1.648697868364738e-06,0.1659586907437561,1.648697868364738e-06,0.1659586907437561,1.648697868364738e-06,0.1659586907437561,1.891478841341969e-06,0.1659586907437561,1.232093363687025e-06
0.2754228703338167,3.313450313767576e-06,0.2754228703338167,3.313450313767576e-06,0.2754228703338167,3.313450313767576e-06,0.2754228703338167,3.80082392040395e-06,0.2754228703338167,2.47816391169081e-06
0.4570881896148751,4.995963790728014e-06,0.4570881896148751,4.995963790728014e-06,0.4570881896148751,4.995963790728014e-06,0.4570881896148751,5.730007466320954e-06,0.4570881896148751,3.739435016335766e-06
0.7585775750291839,6.697921043047186e-06,0.7585775750291839,6.697921043047186e-06,0.7585775750291839,6.697921043047186e-06,0.7585775750291839,7.680973427803893e-06,0.7585775750291839,5.017116209858582e-06
1.258925411794168,8.420984103181907e-06,1.258925411794168,8.420984103181907e-06,1.258925411794168,8.420984103181907e-06,1.258925411794168,9.655640970224354e-06,1.258925411794168,6.312405236002351e-06
2.08929613085404,1.016679729950728e-05,2.08929613085404,1.016679729950728e-05,2.08929613085404,1.016679729950728e-05,2.08929613085404,1.165590798490601e-05,2.08929613085404,7.626490103408272e-06
3.467368504525318,1.193699035222964e-05,3.467368504525318,1.193699035222964e-05,3.467368504525318,1.193699035222964e-05,3.467368504525318,1.368365470716958e-05,3.467368504525318,8.960551191748296e-06
5.754399373371571,1.373318168724798e-05,5.754399373371571,1.373318168724798e-05,5.754399373371571,1.373318168724798e-05,5.754399373371571,1.574074759787927e-05,5.754399373371571,1.031576349202772e-05
9.549925860214364,1.555698217775173e-05,9.549925860214364,1.555698217775173e-05,9.549925860214364,1.555698217775173e-05,9.549925860214364,1.782904373955959e-05,9.549925860214364,1.169329911305492e-05
15.84893192461114,1.740999965622851e-05,15.84893192461114,1.740999965622851e-05,15.84893192461114,1.740999965622851e-05,15.84893192461114,1.995039615706611e-05,15.84893192461114,1.30943302697275e-05
26.30267991895383,1.929384475772475e-05,26.30267991895383,1.929384475772475e-05,26.30267991895383,1.929384475772475e-05,26.30267991895383,2.210666073324496e-05,26.30267991895383,1.452003310659474e-05
43.65158322401662,2.121013901034448e-05,43.65158322401662,2.121013901034448e-05,43.65158322401662,2.121013901034448e-05,43.65158322401662,2.429970581276494e-05,43.65158322401662,1.597159293568438e-05
72.44359600749904,2.316052665858314e-05,72.44359600749904,2.316052665858314e-05,72.44359600749904,2.316052665858314e-05,72.44359600749904,2.653142626166855e-05,72.44359600749904,1.745021183283188e-05
120.2264434617413,2.514669259423218e-05,120.2264434617413,2.514669259423218e-05,120.2264434617413,2.514669259423218e-05,120.2264434617413,2.880376479249108e-05,120.2264434617413,1.895712011710688e-05
199.526231496888,2.717039008698259e-05,199.526231496888,2.717039008698259e-05,199.526231496888,2.717039008698259e-05,199.526231496888,3.11187448777765e-05,199.526231496888,2.049359412834248e-05
331.1311214825913,2.923348374677599e-05,331.1311214825913,2.923348374677599e-05,331.1311214825913,2.923348374677599e-05,331.1311214825913,3.347852147425438e-05,331.1311214825913,2.20609839901769e-05
549.5408738576248,3.133801477710584e-05,549.5408738576248,3.133801477710584e-05,549.5408738576248,3.133801477710584e-05,549.5408738576248,3.588545720592659e-05,549.5408738576248,2.366075657794028e-05
912.0108393559101,3.348629471467658e-05,912.0108393559101,3.348629471467658e-05,912.0108393559101,3.348629471467658e-05,912.0108393559101,3.834222913886473e-05,912.0108393559101,2.529455981399102e-05
1513.561248436209,3.56810223178887e-05,1513.561248436209,3.56810223178887e-05,1513.561248436209,3.56810223178887e-05,1513.561248436209,4.085195327551367e-05,1513.561248436209,2.696431126829168e-05
2511.886431509581,3.792537048617294e-05,2511.886431509581,3.792537048617294e-05,2511.886431509581,3.792537048617294e-05,2511.886431509581,4.34182448310641e-05,2511.886431509581,2.867229564196432e-05
4168.693834703356,4.022282995603158e-05,4168.693834703356,4.022282995603158e-05,4168.693834703356,4.022282995603158e-05,4168.693834703356,4.604490749942795e-05,4168.693834703356,3.042118779040934e-05
6918.309709189368,4.257610803525501e-05,6918.309709189368,4.257610803525501e-05,6918.309709189368,4.257610803525501e-05,6918.309709189368,4.873427125243243e-05,6918.309709189368,3.221370036147143e-05
11481.53621496883,4.498300878973487e-05,11481.53621496883,4.498300878973487e-05,11481.53621496883,4.498300878973487e-05,11481.53621496883,5.148134945028492e-05,11481.53621496883,3.40509131749556e-05
19054.60717963248,4.742395827362091e-05,19054.60717963248,4.742395827362091e-05,19054.60717963248,4.742395827362091e-05,19054.60717963248,5.425683964694713e-05,19054.60717963248,3.592664146409673e-05
31622.77660168381,4.983168796605987e-05,31622.77660168381,4.983168796605987e-05,31622.77660168381,4.983168796605987e-05,31622.77660168381,5.696828170169711e-05,31622.77660168381,3.781183932426296e-05
52480.74602497728,5.204628996113941e-05,52480.74602497728,5.204628996113941e-05,52480.74602497728,5.204628996113941e-05,52480.74602497728,5.941190704202585e-05,52480.74602497728,3.962288778810574e-05
87096.35899560811,5.382759779918688e-05,87096.35899560811,5.382759779918688e-05,87096.35899560811,5.382759779918688e-05,87096.35899560811,6.131417235384591e-05,87096.35899560811,4.119693089866674e-05
144543.9770745928,5.501536009516626e-05,144543.9770745928,5.501536009516626e-05,144543.9770745928,5.501536009516626e-05,144543.9770745928,6.253556595576807e-05,144543.9770745928,4.235702797598188e-05
239883.2919019492,5.567707883103867e-05,239883.2919019492,5.567707883103867e-05,239883.2919019492,5.567707883103867e-05,239883.2919019492,6.319670545347628e-05,239883.2919019492,4.306204321432309e-05
398107.1705534975,5.600949444111166e-05,398107.1705534975,5.600949444111166e-05,398107.1705534975,5.600949444111166e-05,398107.1705534975,6.352445267340037e-05,398107.1705534975,4.343228952216601e-05
660693.4480075964,5.617298645475271e-05,660693.4480075964,5.617298645475271e-05,660693.4480075964,5.617298645475271e-05,660693.4480075964,6.368526228887012e-05,660693.4480075964,4.361572689281134e-05
