"v /net8; ac deg(V) (modelFiles=nom,cf=1e-12) X","v /net8; ac deg(V) (modelFiles=nom,cf=1e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=1e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=1e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=1e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=1e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=1e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=1e-12) Y"
0.1,-3.639836285866602e-06,0.1,-3.639836285866602e-06,0.1,-3.639836285866602e-06,0.1,-3.640548264749121e-06
0.1659586907437561,-6.040624645241967e-06,0.1659586907437561,-6.040624645241967e-06,0.1659586907437561,-6.040624645241967e-06,0.1659586907437561,-6.041806236072854e-06
0.2754228703338167,-1.002494157398672e-05,0.2754228703338167,-1.002494157398672e-05,0.2754228703338167,-1.002494157398672e-05,0.2754228703338167,-1.002690252665945e-05
0.4570881896148751,-1.663726178401269e-05,0.4570881896148751,-1.663726178401269e-05,0.4570881896148751,-1.663726178401269e-05,0.4570881896148751,-1.66405161554009e-05
0.7585775750291839,-2.761098183235809e-05,0.7585775750291839,-2.761098183235809e-05,0.7585775750291839,-2.761098183235809e-05,0.7585775750291839,-2.761638274450067e-05
1.258925411794168,-4.582282395047845e-05,1.258925411794168,-4.582282395047845e-05,1.258925411794168,-4.582282395047845e-05,1.258925411794168,-4.583178723355483e-05
2.08929613085404,-7.604695868999719e-05,2.08929613085404,-7.604695868999719e-05,2.08929613085404,-7.604695868999719e-05,2.08929613085404,-7.60618340372551e-05
3.467368504525318,-0.0001262065369922281,3.467368504525318,-0.0001262065369922281,3.467368504525318,-0.0001262065369922281,3.467368504525318,-0.0001262312239237705
5.754399373371571,-0.0002094507164247585,5.754399373371571,-0.0002094507164247585,5.754399373371571,-0.0002094507164247585,5.754399373371571,-0.0002094916865331673
9.549925860214364,-0.0003476016667293348,9.549925860214364,-0.0003476016667293348,9.549925860214364,-0.0003476016667293348,9.549925860214364,-0.0003476696601846619
15.84893192461114,-0.0005768751750952393,15.84893192461114,-0.0005768751750952393,15.84893192461114,-0.0005768751750952393,15.84893192461114,-0.0005769880161438691
26.30267991895383,-0.0009573744877583895,26.30267991895383,-0.0009573744877583895,26.30267991895383,-0.0009573744877583895,26.30267991895383,-0.000957561757285534
43.65158322401662,-0.001588846165146623,43.65158322401662,-0.001588846165146623,43.65158322401662,-0.001588846165146623,43.65158322401662,-0.001589156955201123
72.44359600749904,-0.002636828292453349,72.44359600749904,-0.002636828292453349,72.44359600749904,-0.002636828292453349,72.44359600749904,-0.002637344075560215
120.2264434617413,-0.00437604570603478,120.2264434617413,-0.00437604570603478,120.2264434617413,-0.00437604570603478,120.2264434617413,-0.004376901692929903
199.526231496888,-0.007262428135941961,199.526231496888,-0.007262428135941961,199.526231496888,-0.007262428135941961,199.526231496888,-0.007263848720600065
331.1311214825913,-0.01205263054026224,331.1311214825913,-0.01205263054026224,331.1311214825913,-0.01205263054026224,331.1311214825913,-0.01205498812403494
549.5408738576248,-0.02000238734039267,549.5408738576248,-0.02000238734039267,549.5408738576248,-0.02000238734039267,549.5408738576248,-0.02000629995589995
912.0108393559101,-0.03319569784201779,912.0108393559101,-0.03319569784201779,912.0108393559101,-0.03319569784201779,912.0108393559101,-0.03320219116905108
1513.561248436209,-0.05509113498327634,1513.561248436209,-0.05509113498327634,1513.561248436209,-0.05509113498327634,1513.561248436209,-0.0551019112309433
2511.886431509581,-0.09142847816356819,2511.886431509581,-0.09142847816356819,2511.886431509581,-0.09142847816356819,2511.886431509581,-0.09144636231566483
4168.693834703356,-0.1517332851460334,4168.693834703356,-0.1517332851460334,4168.693834703356,-0.1517332851460334,4168.693834703356,-0.1517629655996004
6918.309709189368,-0.2518135670387302,6918.309709189368,-0.2518135670387302,6918.309709189368,-0.2518135670387302,6918.309709189368,-0.2518628250114757
11481.53621496883,-0.4179018989074537,11481.53621496883,-0.4179018989074537,11481.53621496883,-0.4179018989074537,11481.53621496883,-0.4179836499050061
19054.60717963248,-0.6935234952483832,19054.60717963248,-0.6935234952483832,19054.60717963248,-0.6935234952483832,19054.60717963248,-0.693659182351311
31622.77660168381,-1.150866430888261,31622.77660168381,-1.150866430888261,31622.77660168381,-1.150866430888261,31622.77660168381,-1.151091680393858
52480.74602497728,-1.909523932849324,52480.74602497728,-1.909523932849324,52480.74602497728,-1.909523932849324,52480.74602497728,-1.909898050661912
87096.35899560811,-3.167017778704853,87096.35899560811,-3.167017778704853,87096.35899560811,-3.167017778704853,87096.35899560811,-3.167640012438032
144543.9770745928,-5.246824542957671,144543.9770745928,-5.246824542957671,144543.9770745928,-5.246824542957671,144543.9770745928,-5.24786333464654
239883.2919019492,-8.66637861725674,239883.2919019492,-8.66637861725674,239883.2919019492,-8.66637861725674,239883.2919019492,-8.668130129019332
398107.1705534975,-14.20026828378865,398107.1705534975,-14.20026828378865,398107.1705534975,-14.20026828378865,398107.1705534975,-14.20329477779115
660693.4480075964,-22.79972703628254,660693.4480075964,-22.79972703628254,660693.4480075964,-22.79972703628254,660693.4480075964,-22.80522966341561
1096478.196143186,-34.97449189393342,1096478.196143186,-34.97449189393342,1096478.196143186,-34.97449189393342,1096478.196143186,-34.98522725431375
1819700.858609985,-49.49282016772964,1819700.858609985,-49.49282016772964,1819700.858609985,-49.49282016772964,1819700.858609985,-49.51447677038067
3019951.720402018,-63.38320162715736,3019951.720402018,-63.38320162715736,3019951.720402018,-63.38320162715736,3019951.720402018,-63.42464256479995
5011872.336272726,-74.68944795038374,5011872.336272726,-74.68944795038374,5011872.336272726,-74.68944795038374,5011872.336272726,-74.75798096194261
8317637.711026715,-83.84319661250548,8317637.711026715,-83.84319661250548,8317637.711026715,-83.84319661250548,8317637.711026715,-83.9310695987181
13803842.64602886,-92.35209176205186,13803842.64602886,-92.35209176205186,13803842.64602886,-92.35209176205186,13803842.64602886,-92.44128458910374
22908676.52767774,-102.0692388642797,22908676.52767774,-102.0692388642797,22908676.52767774,-102.0692388642797,22908676.52767774,-102.1715069891824
38018939.63205615,-115.9391362252706,38018939.63205615,-115.9391362252706,38018939.63205615,-115.9391362252706,38018939.63205615,-116.1682548041839
63095734.44801937,-140.2237980438216,63095734.44801937,-140.2237980438216,63095734.44801937,-140.2237980438216,63095734.44801937,-141.0959881137724
104712854.80509,-185.1421780218345,104712854.80509,-185.1421780218345,104712854.80509,-185.1421780218345,104712854.80509,-187.6536910881557
173780082.8749377,-233.4803606139141,173780082.8749377,-233.4803606139141,173780082.8749377,-233.4803606139141,173780082.8749377,-235.6309386631772
288403150.3126608,-260.0987882609041,288403150.3126608,-260.0987882609041,288403150.3126608,-260.0987882609041,288403150.3126608,-261.1034094673411
478630092.3226386,-268.9320642403023,478630092.3226386,-268.9320642403023,478630092.3226386,-268.9320642403023,478630092.3226386,-269.3061947332242
794328234.724282,-268.6776469714937,794328234.724282,-268.6776469714937,794328234.724282,-268.6776469714937,794328234.724282,-268.8630822959196
1318256738.556408,-268.0558678670779,1318256738.556408,-268.0558678670779,1318256738.556408,-268.0558678670779,1318256738.556408,-268.2038494760266
2187761623.949554,-268.4038009238787,2187761623.949554,-268.4038009238787,2187761623.949554,-268.4038009238787,2187761623.949554,-268.5123286396441
3630780547.701016,-268.9269499025235,3630780547.701016,-268.9269499025235,3630780547.701016,-268.9269499025235,3630780547.701016,-268.9979875735349
6025595860.743582,-269.3274776418335,6025595860.743582,-269.3274776418335,6025595860.743582,-269.3274776418335,6025595860.743582,-269.3716481132833
10000000000,-269.5889565396932,10000000000,-269.5889565396932,10000000000,-269.5889565396932,10000000000,-269.6158818143804
