v /net10; tran (V) (modelFiles=nom) X,v /net10; tran (V) (modelFiles=nom) Y,v /net10; tran (V) (modelFiles=spectre.scs:fs) X,v /net10; tran (V) (modelFiles=spectre.scs:fs) Y,v /net10; tran (V) (modelFiles=spectre.scs:sf) X,v /net10; tran (V) (modelFiles=spectre.scs:sf) Y,v /net10; tran (V) (modelFiles=spectre.scs:ss) X,v /net10; tran (V) (modelFiles=spectre.scs:ss) Y
0,1.655280317188241,0,1.655280317188241,0,1.655280317188241,0,1.655288197359899
1e-09,1.655284101930917,1e-09,1.655284101930917,1e-09,1.655284101930917,1e-09,1.65529196640105
3e-09,1.65528424310086,3e-09,1.65528424310086,3e-09,1.65528424310086,3e-09,1.655292260839339
7.000000000000001e-09,1.655281131908588,7.000000000000001e-09,1.655281131908588,7.000000000000001e-09,1.655281131908588,7.000000000000001e-09,1.655289251445138
1.5e-08,1.655280938602751,1.5e-08,1.655280938602751,1.5e-08,1.655280938602751,1.5e-08,1.655288910902322
3.1e-08,1.6552919144576,3.1e-08,1.6552919144576,3.1e-08,1.6552919144576,3.1e-08,1.655299843931466
6.1e-08,1.655312765299243,6.1e-08,1.655312765299243,6.1e-08,1.655312765299243,6.1e-08,1.655320701025094
9.100000000000001e-08,1.655329787036396,9.100000000000001e-08,1.655329787036396,9.100000000000001e-08,1.655329787036396,9.100000000000001e-08,1.655337708223539
1.21e-07,1.655342930699087,1.21e-07,1.655342930699087,1.21e-07,1.655342930699087,1.21e-07,1.65535084335558
1.51e-07,1.655352795521194,1.51e-07,1.655352795521194,1.51e-07,1.655352795521194,1.51e-07,1.655360702964105
1.81e-07,1.655360106439575,1.81e-07,1.655360106439575,1.81e-07,1.655360106439575,1.81e-07,1.655368009422379
2.11e-07,1.655365494570535,2.11e-07,1.655365494570535,2.11e-07,1.655365494570535,2.11e-07,1.65537339355252
2.41e-07,1.655369454355816,2.41e-07,1.655369454355816,2.41e-07,1.655369454355816,2.41e-07,1.655377349885963
2.71e-07,1.655372359736011,2.71e-07,1.655372359736011,2.71e-07,1.655372359736011,2.71e-07,1.65538025242318
3.010000000000001e-07,1.655374489375362,3.010000000000001e-07,1.655374489375362,3.010000000000001e-07,1.655374489375362,3.010000000000001e-07,1.655382379802428
3.310000000000001e-07,1.655376049435074,3.310000000000001e-07,1.655376049435074,3.310000000000001e-07,1.655376049435074,3.310000000000001e-07,1.655383938101327
3.610000000000001e-07,1.655377191823212,3.610000000000001e-07,1.655377191823212,3.610000000000001e-07,1.655377191823212,3.610000000000001e-07,1.655385079129639
3.910000000000002e-07,1.655378028184552,3.910000000000002e-07,1.655378028184552,3.910000000000002e-07,1.655378028184552,3.910000000000002e-07,1.655385914443608
