copy (modelFiles=nom) X,copy (modelFiles=nom) Y,copy (modelFiles=spectre.scs:fs) X,copy (modelFiles=spectre.scs:fs) Y,copy (modelFiles=spectre.scs:sf) X,copy (modelFiles=spectre.scs:sf) Y,copy (modelFiles=spectre.scs:ss) X,copy (modelFiles=spectre.scs:ss) Y
0.1,0,0.1,0,0.1,0,0.1,0
0.1584893192461114,3.917854523317096e-06,0.1584893192461114,3.917854523317096e-06,0.1584893192461114,3.917854523317096e-06,0.1584893192461114,4.022608944344884e-06
0.2511886431509581,5.537349913364085e-06,0.2511886431509581,5.537349913364085e-06,0.2511886431509581,5.537349913364085e-06,0.2511886431509581,5.686217424174504e-06
0.3981071705534974,6.779032492216892e-06,0.3981071705534974,6.779032492216892e-06,0.3981071705534974,6.779032492216892e-06,0.3981071705534974,6.96226068972659e-06
0.6309573444801935,7.825954578359065e-06,0.6309573444801935,7.825954578359065e-06,0.6309573444801935,7.825954578359065e-06,0.6309573444801935,8.038592702183602e-06
1,8.749261183430295e-06,1,8.749261183430295e-06,1,8.749261183430295e-06,1,8.988211075815695e-06
1.584893192461114,9.585584557126124e-06,1.584893192461114,9.585584557126124e-06,1.584893192461114,9.585584557126124e-06,1.584893192461114,9.848694930232816e-06
2.511886431509581,1.035678460119493e-05,2.511886431509581,1.035678460119493e-05,2.511886431509581,1.035678460119493e-05,2.511886431509581,1.064246486047827e-05
3.981071705534975,1.107717764190555e-05,3.981071705534975,1.107717764190555e-05,3.981071705534975,1.107717764190555e-05,3.981071705534975,1.138420136638191e-05
6.309573444801937,1.175676699364191e-05,6.309573444801937,1.175676699364191e-05,6.309573444801937,1.175676699364191e-05,6.309573444801937,1.208415985411303e-05
10.00000000000001,1.240288812258946e-05,10.00000000000001,1.240288812258946e-05,10.00000000000001,1.240288812258946e-05,10.00000000000001,1.27498585598067e-05
15.84893192461115,1.302112958034932e-05,15.84893192461115,1.302112958034932e-05,15.84893192461115,1.302112958034932e-05,15.84893192461115,1.338702317677846e-05
25.11886431509582,1.361588856737588e-05,25.11886431509582,1.361588856737588e-05,25.11886431509582,1.361588856737588e-05,25.11886431509582,1.400015641318347e-05
39.81071705534976,1.419072900276688e-05,39.81071705534976,1.419072900276688e-05,39.81071705534976,1.419072900276688e-05,39.81071705534976,1.459290467317253e-05
63.09573444801939,1.47486286566698e-05,63.09573444801939,1.47486286566698e-05,63.09573444801939,1.47486286566698e-05,63.09573444801939,1.516831055401942e-05
100.0000000000001,1.529216459778999e-05,100.0000000000001,1.529216459778999e-05,100.0000000000001,1.529216459778999e-05,100.0000000000001,1.572900149964382e-05
158.4893192461115,1.582366872150695e-05,158.4893192461115,1.582366872150695e-05,158.4893192461115,1.582366872150695e-05,158.4893192461115,1.627734689756553e-05
251.1886431509583,1.634537778952471e-05,251.1886431509583,1.634537778952471e-05,251.1886431509583,1.634537778952471e-05,251.1886431509583,1.681560821291317e-05
398.1071705534977,1.685960133755847e-05,398.1071705534977,1.685960133755847e-05,398.1071705534977,1.685960133755847e-05,398.1071705534977,1.734610539517887e-05
630.957344480194,1.736893474188404e-05,630.957344480194,1.736893474188404e-05,630.957344480194,1.736893474188404e-05,630.957344480194,1.78714264434326e-05
1000.000000000001,1.787655390283793e-05,1000.000000000001,1.787655390283793e-05,1000.000000000001,1.787655390283793e-05,1000.000000000001,1.83947158445202e-05
1584.893192461116,1.838664368248452e-05,1584.893192461116,1.838664368248452e-05,1584.893192461116,1.838664368248452e-05,1584.893192461116,1.892009284543889e-05
2511.886431509584,1.890503658000226e-05,2511.886431509584,1.890503658000226e-05,2511.886431509584,1.890503658000226e-05,2511.886431509584,1.945327432603421e-05
3981.071705534979,1.944017387790212e-05,3981.071705534979,1.944017387790212e-05,3981.071705534979,1.944017387790212e-05,3981.071705534979,2.000251219298744e-05
6309.573444801943,2.000455101291551e-05,6309.573444801943,2.000455101291551e-05,6309.573444801943,2.000455101291551e-05,6309.573444801943,2.058000432826527e-05
10000.00000000002,2.061687157148576e-05,10000.00000000002,2.061687157148576e-05,10000.00000000002,2.061687157148576e-05,10000.00000000002,2.120400121227852e-05
15848.93192461116,2.130520013384447e-05,15848.93192461116,2.130520013384447e-05,15848.93192461116,2.130520013384447e-05,15848.93192461116,2.190189896726208e-05
25118.86431509585,2.211144102815018e-05,25118.86431509585,2.211144102815018e-05,25118.86431509585,2.211144102815018e-05,25118.86431509585,2.271465444155719e-05
39810.7170553498,2.309740114553025e-05,39810.7170553498,2.309740114553025e-05,39810.7170553498,2.309740114553025e-05,39810.7170553498,2.370280646807985e-05
63095.73444801945,2.435236805398184e-05,63095.73444801945,2.435236805398184e-05,63095.73444801945,2.435236805398184e-05,63095.73444801945,2.495408984040127e-05
100000.0000000002,2.600128615739861e-05,100000.0000000002,2.600128615739861e-05,100000.0000000002,2.600128615739861e-05,100000.0000000002,2.659181277041514e-05
158489.3192461117,2.821078373046357e-05,158489.3192461117,2.821078373046357e-05,158489.3192461117,2.821078373046357e-05,158489.3192461117,2.878134078245901e-05
251188.6431509586,3.118642588262375e-05,251188.6431509586,3.118642588262375e-05,251188.6431509586,3.118642588262375e-05,251188.6431509586,3.172806929215577e-05
398107.1705534981,3.514577333380513e-05,398107.1705534981,3.514577333380513e-05,398107.1705534981,3.514577333380513e-05,398107.1705534981,3.565129686636105e-05
630957.3444801947,4.023459980018491e-05,630957.3444801947,4.023459980018491e-05,630957.3444801947,4.023459980018491e-05,630957.3444801947,4.07010245159414e-05
1000000.000000002,4.63502847288241e-05,1000000.000000002,4.63502847288241e-05,1000000.000000002,4.63502847288241e-05,1000000.000000002,4.678124667391199e-05
