"/net4 (Corner=WCLowtemp,modelFiles=spectre.scs:ss) X","/net4 (Corner=WCLowtemp,modelFiles=spectre.scs:ss) Y","/net4 (Corner=Asym_SF,modelFiles=spectre.scs:sf) X","/net4 (Corner=Asym_SF,modelFiles=spectre.scs:sf) Y","/net4 (Corner=Asym_FS,modelFiles=spectre.scs:fs) X","/net4 (Corner=Asym_FS,modelFiles=spectre.scs:fs) Y","/net4 (Corner=nom,modelFiles=nom) X","/net4 (Corner=nom,modelFiles=nom) Y"
1e-10,1.650003456500844,1e-10,1.650002012489064,1e-10,1.650002012489064,1e-10,1.650002012489064
1.202264434617413e-10,1.650003456464002,1.202264434617413e-10,1.650002012452179,1.202264434617413e-10,1.650002012452179,1.202264434617413e-10,1.650002012452179
1.445439770745928e-10,1.65000345641971,1.445439770745928e-10,1.650002012407834,1.445439770745928e-10,1.650002012407834,1.445439770745928e-10,1.650002012407834
1.737800828749376e-10,1.650003456366459,1.737800828749376e-10,1.65000201235452,1.737800828749376e-10,1.65000201235452,1.737800828749376e-10,1.65000201235452
2.08929613085404e-10,1.650003456302439,2.08929613085404e-10,1.650002012290421,2.08929613085404e-10,1.650002012290421,2.08929613085404e-10,1.650002012290421
2.51188643150958e-10,1.650003456225465,2.51188643150958e-10,1.650002012213358,2.51188643150958e-10,1.650002012213358,2.51188643150958e-10,1.650002012213358
3.019951720402017e-10,1.650003456132926,3.019951720402017e-10,1.650002012120708,3.019951720402017e-10,1.650002012120708,3.019951720402017e-10,1.650002012120708
3.630780547701014e-10,1.650003456021669,3.630780547701014e-10,1.650002012009318,3.630780547701014e-10,1.650002012009318,3.630780547701014e-10,1.650002012009318
4.365158322401661e-10,1.650003455887907,4.365158322401661e-10,1.650002011875395,4.365158322401661e-10,1.650002011875395,4.365158322401661e-10,1.650002011875395
5.248074602497728e-10,1.650003455727089,5.248074602497728e-10,1.650002011714386,5.248074602497728e-10,1.650002011714386,5.248074602497728e-10,1.650002011714386
6.309573444801935e-10,1.650003455533745,6.309573444801935e-10,1.650002011520814,6.309573444801935e-10,1.650002011520814,6.309573444801935e-10,1.650002011520814
7.585775750291841e-10,1.650003455301293,7.585775750291841e-10,1.650002011288084,7.585775750291841e-10,1.650002011288084,7.585775750291841e-10,1.650002011288084
9.120108393559102e-10,1.650003455021823,9.120108393559102e-10,1.650002011008284,9.120108393559102e-10,1.650002011008284,9.120108393559102e-10,1.650002011008284
1.096478196143186e-09,1.650003454685828,1.096478196143186e-09,1.65000201067189,1.096478196143186e-09,1.65000201067189,1.096478196143186e-09,1.65000201067189
1.318256738556408e-09,1.650003454281873,1.318256738556408e-09,1.650002010267452,1.318256738556408e-09,1.650002010267452,1.318256738556408e-09,1.650002010267452
1.584893192461114e-09,1.650003453796209,1.584893192461114e-09,1.650002009781212,1.584893192461114e-09,1.650002009781212,1.584893192461114e-09,1.650002009781212
1.905460717963249e-09,1.650003453212315,1.905460717963249e-09,1.650002009196621,1.905460717963249e-09,1.650002009196621,1.905460717963249e-09,1.650002009196621
2.290867652767775e-09,1.65000345251031,2.290867652767775e-09,1.650002008493787,2.290867652767775e-09,1.650002008493787,2.290867652767775e-09,1.650002008493787
2.754228703338169e-09,1.650003451666321,2.754228703338169e-09,1.650002007648792,2.754228703338169e-09,1.650002007648792,2.754228703338169e-09,1.650002007648792
3.311311214825914e-09,1.650003450651613,3.311311214825914e-09,1.650002006632882,3.311311214825914e-09,1.650002006632882,3.311311214825914e-09,1.650002006632882
3.981071705534976e-09,1.650003449431665,3.981071705534976e-09,1.650002005411485,3.981071705534976e-09,1.650002005411485,3.981071705534976e-09,1.650002005411485
4.786300923226388e-09,1.650003447964953,4.786300923226388e-09,1.650002003943032,4.786300923226388e-09,1.650002003943032,4.786300923226388e-09,1.650002003943032
5.754399373371576e-09,1.650003446201568,5.754399373371576e-09,1.650002002177561,5.754399373371576e-09,1.650002002177561,5.754399373371576e-09,1.650002002177561
6.918309709189373e-09,1.650003444081496,6.918309709189373e-09,1.650002000054976,6.918309709189373e-09,1.650002000054976,6.918309709189373e-09,1.650002000054976
8.31763771102672e-09,1.650003441532582,8.31763771102672e-09,1.650001997503048,8.31763771102672e-09,1.650001997503048,8.31763771102672e-09,1.650001997503048
1.000000000000001e-08,1.65000343846808,1.000000000000001e-08,1.650001994434927,1.000000000000001e-08,1.650001994434927,1.000000000000001e-08,1.650001994434927
1.202264434617415e-08,1.650003434783687,1.202264434617415e-08,1.650001990746188,1.202264434617415e-08,1.650001990746188,1.202264434617415e-08,1.650001990746188
1.44543977074593e-08,1.650003430353997,1.44543977074593e-08,1.650001986311281,1.44543977074593e-08,1.650001986311281,1.44543977074593e-08,1.650001986311281
1.737800828749378e-08,1.650003425028231,1.737800828749378e-08,1.650001980979262,1.737800828749378e-08,1.650001980979262,1.737800828749378e-08,1.650001980979262
2.089296130854042e-08,1.650003418625098,2.089296130854042e-08,1.650001974568626,2.089296130854042e-08,1.650001974568626,2.089296130854042e-08,1.650001974568626
2.511886431509584e-08,1.650003410926613,2.511886431509584e-08,1.650001966861153,2.511886431509584e-08,1.650001966861153,2.511886431509584e-08,1.650001966861153
3.019951720402021e-08,1.650003401670671,3.019951720402021e-08,1.650001957594444,3.019951720402021e-08,1.650001957594444,3.019951720402021e-08,1.650001957594444
3.630780547701019e-08,1.650003390542106,3.630780547701019e-08,1.650001946452997,3.630780547701019e-08,1.650001946452997,3.630780547701019e-08,1.650001946452997
4.365158322401667e-08,1.650003377161937,4.365158322401667e-08,1.650001933057424,4.365158322401667e-08,1.650001933057424,4.365158322401667e-08,1.650001933057424
5.248074602497734e-08,1.65000336107443,5.248074602497734e-08,1.650001916951521,5.248074602497734e-08,1.650001916951521,5.248074602497734e-08,1.650001916951521
6.309573444801943e-08,1.650003341731524,6.309573444801943e-08,1.650001897586686,6.309573444801943e-08,1.650001897586686,6.309573444801943e-08,1.650001897586686
7.58577575029185e-08,1.650003318474099,7.58577575029185e-08,1.650001874303153,7.58577575029185e-08,1.650001874303153,7.58577575029185e-08,1.650001874303153
9.120108393559112e-08,1.650003290509392,9.120108393559112e-08,1.650001846307437,9.120108393559112e-08,1.650001846307437,9.120108393559112e-08,1.650001846307437
1.096478196143187e-07,1.650003256883835,1.096478196143187e-07,1.650001812645136,1.096478196143187e-07,1.650001812645136,1.096478196143187e-07,1.650001812645136
1.318256738556409e-07,1.650003216450283,1.318256738556409e-07,1.650001772168192,1.318256738556409e-07,1.650001772168192,1.318256738556409e-07,1.650001772168192
1.584893192461116e-07,1.650003167828531,1.584893192461116e-07,1.65000172349539,1.584893192461116e-07,1.65000172349539,1.584893192461116e-07,1.65000172349539
1.90546071796325e-07,1.650003109357632,1.90546071796325e-07,1.650001664964731,1.90546071796325e-07,1.650001664964731,1.90546071796325e-07,1.650001664964731
2.290867652767777e-07,1.650003039038332,2.290867652767777e-07,1.650001594575905,2.290867652767777e-07,1.650001594575905,2.290867652767777e-07,1.650001594575905
2.754228703338171e-07,1.65000295446339,2.754228703338171e-07,1.650001509920698,2.754228703338171e-07,1.650001509920698,2.754228703338171e-07,1.650001509920698
3.311311214825916e-07,1.650002852733118,3.311311214825916e-07,1.650001408098696,3.311311214825916e-07,1.650001408098696,3.311311214825916e-07,1.650001408098696
3.981071705534979e-07,1.650002730352766,3.981071705534979e-07,1.65000128561487,3.981071705534979e-07,1.65000128561487,3.981071705534979e-07,1.65000128561487
4.786300923226391e-07,1.650002583107318,4.786300923226391e-07,1.65000113825475,4.786300923226391e-07,1.65000113825475,4.786300923226391e-07,1.65000113825475
5.754399373371579e-07,1.650002405908104,5.754399373371579e-07,1.650000960931523,5.754399373371579e-07,1.650000960931523,5.754399373371579e-07,1.650000960931523
6.918309709189377e-07,1.650002192603554,6.918309709189377e-07,1.650000747497554,6.918309709189377e-07,1.650000747497554,6.918309709189377e-07,1.650000747497554
8.317637711026725e-07,1.650001935743693,8.317637711026725e-07,1.650000490509952,8.317637711026725e-07,1.650000490509952,8.317637711026725e-07,1.650000490509952
1e-06,1.650001626283373,1e-06,1.650000180935395,1e-06,1.650000180935395,1e-06,1.650000180935395
