"v /net8; ac deg(V) (modelFiles=nom,cf=5e-13) X","v /net8; ac deg(V) (modelFiles=nom,cf=5e-13) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=5e-13) X","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=5e-13) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=5e-13) X","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=5e-13) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=5e-13) X","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=5e-13) Y"
0.1,-1.839833455915981e-06,0.1,-1.839833455915981e-06,0.1,-1.839833455915981e-06,0.1,-1.840545384123295e-06
0.1659586907437561,-3.053363515303711e-06,0.1659586907437561,-3.053363515303711e-06,0.1659586907437561,-3.053363515303711e-06,0.1659586907437561,-3.054545022033665e-06
0.2754228703338167,-5.067322113647501e-06,0.2754228703338167,-5.067322113647501e-06,0.2754228703338167,-5.067322113647501e-06,0.2754228703338167,-5.069282926745289e-06
0.4570881896148751,-8.409661435575949e-06,0.4570881896148751,-8.409661435575949e-06,0.4570881896148751,-8.409661435575949e-06,0.4570881896148751,-8.412915575325267e-06
0.7585775750291839,-1.395656401446489e-05,0.7585775750291839,-1.395656401446489e-05,0.7585775750291839,-1.395656401446489e-05,0.7585775750291839,-1.396196454218755e-05
1.258925411794168,-2.31621309112142e-05,1.258925411794168,-2.31621309112142e-05,1.258925411794168,-2.31621309112142e-05,1.258925411794168,-2.317109355631512e-05
2.08929613085404,-3.843956920861555e-05,2.08929613085404,-3.843956920861555e-05,2.08929613085404,-3.843956920861555e-05,2.08929613085404,-3.845444349706737e-05
3.467368504525318,-6.379380578612895e-05,3.467368504525318,-6.379380578612895e-05,3.467368504525318,-6.379380578612895e-05,3.467368504525318,-6.381849096049877e-05
5.754399373371571,-0.0001058713648582274,5.754399373371571,-0.0001058713648582274,5.754399373371571,-0.0001058713648582274,5.754399373371571,-0.0001059123320504293
9.549925860214364,-0.0001757027309909417,9.549925860214364,-0.0001757027309909417,9.549925860214364,-0.0001757027309909417,9.549925860214364,-0.0001757707196067633
15.84893192461114,-0.0002915939519519929,15.84893192461114,-0.0002915939519519929,15.84893192461114,-0.0002915939519519929,15.84893192461114,-0.0002917067849685208
26.30267991895383,-0.0004839255049402924,26.30267991895383,-0.0004839255049402924,26.30267991895383,-0.0004839255049402924,26.30267991895383,-0.0004841127611371566
