"v /net8; ac dB20(V) (modelFiles=nom,cf=5e-13) X","v /net8; ac dB20(V) (modelFiles=nom,cf=5e-13) Y","v /net8; ac dB20(V) (modelFiles=spectre.scs:fs,cf=5e-13) X","v /net8; ac dB20(V) (modelFiles=spectre.scs:fs,cf=5e-13) Y","v /net8; ac dB20(V) (modelFiles=spectre.scs:sf,cf=5e-13) X","v /net8; ac dB20(V) (modelFiles=spectre.scs:sf,cf=5e-13) Y","v /net8; ac dB20(V) (modelFiles=spectre.scs:ss,cf=5e-13) X","v /net8; ac dB20(V) (modelFiles=spectre.scs:ss,cf=5e-13) Y"
0.1,99.99984155155603,0.1,99.99984155155603,0.1,99.99984155155603,0.1,99.99984173219333
0.1659586907437561,99.99984155155602,0.1659586907437561,99.99984155155602,0.1659586907437561,99.99984155155602,0.1659586907437561,99.99984173219332
0.2754228703338167,99.999841551556,0.2754228703338167,99.999841551556,0.2754228703338167,99.999841551556,0.2754228703338167,99.9998417321933
0.4570881896148751,99.99984155155595,0.4570881896148751,99.99984155155595,0.4570881896148751,99.99984155155595,0.4570881896148751,99.99984173219325
0.7585775750291839,99.99984155155579,0.7585775750291839,99.99984155155579,0.7585775750291839,99.99984155155579,0.7585775750291839,99.99984173219309
1.258925411794168,99.99984155155536,1.258925411794168,99.99984155155536,1.258925411794168,99.99984155155536,1.258925411794168,99.99984173219266
2.08929613085404,99.99984155155417,2.08929613085404,99.99984155155417,2.08929613085404,99.99984155155417,2.08929613085404,99.99984173219147
3.467368504525318,99.99984155155089,3.467368504525318,99.99984155155089,3.467368504525318,99.99984155155089,3.467368504525318,99.99984173218819
5.754399373371571,99.99984155154182,5.754399373371571,99.99984155154182,5.754399373371571,99.99984155154182,5.754399373371571,99.99984173217916
9.549925860214364,99.99984155151691,9.549925860214364,99.99984155151691,9.549925860214364,99.99984155151691,9.549925860214364,99.99984173215427
15.84893192461114,99.99984155144828,15.84893192461114,99.99984155144828,15.84893192461114,99.99984155144828,15.84893192461114,99.99984173208574
26.30267991895383,99.99984155125924,26.30267991895383,99.99984155125924,26.30267991895383,99.99984155125924,26.30267991895383,99.99984173189702
43.65158322401662,99.99984155073859,43.65158322401662,99.99984155073859,43.65158322401662,99.99984155073859,43.65158322401662,99.9998417313772
72.44359600749904,99.99984154930461,72.44359600749904,99.99984154930461,72.44359600749904,99.99984154930461,72.44359600749904,99.99984172994552
120.2264434617413,99.99984154535508,120.2264434617413,99.99984154535508,120.2264434617413,99.99984154535508,120.2264434617413,99.9998417260023
199.526231496888,99.9998415344772,199.526231496888,99.9998415344772,199.526231496888,99.9998415344772,199.526231496888,99.99984171514183
331.1311214825913,99.99984150451701,331.1311214825913,99.99984150451701,331.1311214825913,99.99984150451701,331.1311214825913,99.99984168522955
549.5408738576248,99.9998414219998,549.5408738576248,99.9998414219998,549.5408738576248,99.9998414219998,549.5408738576248,99.99984160284436
912.0108393559101,99.99984119472856,912.0108393559101,99.99984119472856,912.0108393559101,99.99984119472856,912.0108393559101,99.99984137593665
1513.561248436209,99.99984056877167,1513.561248436209,99.99984056877167,1513.561248436209,99.99984056877167,1513.561248436209,99.99984075098105
2511.886431509581,99.99983884474369,2511.886431509581,99.99983884474369,2511.886431509581,99.99983884474369,2511.886431509581,99.99983902971088
4168.693834703356,99.99983409638021,4168.693834703356,99.99983409638021,4168.693834703356,99.99983409638021,4168.693834703356,99.99983428894298
