diff_output X	diff_output Y
0.1	114.523431843999
0.165958690743756	121.975845965312
0.275422870333817	130.18335469161
0.457088189614875	138.790480745779
0.758577575029184	147.64045194879
1.25892541179417	156.809694439667
2.08929613085404	166.815100209569
3.46736850452532	180.258755360394
5.75439937337157	189.484770973612
9.54992586021436	181.839052375641
15.8489319246111	180.164299546229
26.3026799189538	179.628103289787
43.6515832240166	179.441326350023
72.443596007499	179.374492718616
120.226443461741	179.350353397861
199.526231496888	179.341605233898
331.131121482591	179.338430404977
549.540873857625	179.337275943228
912.01083935591	179.336851208815
1513.56124843621	179.336681544277
2511.88643150958	179.336577371175
4168.69383470336	179.336422309298
6918.30970918937	179.336043219147
11481.5362149688	179.335017392119
19054.6071796325	179.332205096761
31622.7766016838	179.324512378473
52480.7460249773	179.303698932269
87096.3589956081	179.248987609424
144543.977074593	179.114451284578
239883.291901949	178.819998501447
398107.170553497	178.234741761923
660693.448007596	177.017673429312
1096478.19614319	174.299882301535
1819700.85860999	168.624922094718
3019951.72040202	158.596774748161
5011872.33627273	143.977405556868
8317637.71102671	126.465590556
13803842.6460289	108.305410724277
22908676.5276777	90.3699521511437
38018939.6320561	72.8483377092184
63095734.4480194	55.8627340156097
104712854.80509	39.334926923849
173780082.874938	21.8851989813924
288403150.312661	-2.33935355448319
478630092.322639	-33.113697012057
794328234.724282	-72.2236315621293
1318256738.55641	-111.853642937007
2187761623.94955	-125.310436779614
3630780547.70102	-143.27262772378
6025595860.74358	-160.088740101703
10000000000	-175.516812153042
