v (/net8 /net5); ac dB20(V) (modelFiles=nom) X,v (/net8 /net5); ac dB20(V) (modelFiles=nom) Y,v (/net8 /net5); ac dB20(V) (modelFiles=spectre.scs:fs) X,v (/net8 /net5); ac dB20(V) (modelFiles=spectre.scs:fs) Y,v (/net8 /net5); ac dB20(V) (modelFiles=spectre.scs:sf) X,v (/net8 /net5); ac dB20(V) (modelFiles=spectre.scs:sf) Y,v (/net8 /net5); ac dB20(V) (modelFiles=spectre.scs:ff) X,v (/net8 /net5); ac dB20(V) (modelFiles=spectre.scs:ff) Y,v (/net8 /net5); ac dB20(V) (modelFiles=spectre.scs:ss) X,v (/net8 /net5); ac dB20(V) (modelFiles=spectre.scs:ss) Y
0.1,132.3540187644036,0.1,132.3540187644036,0.1,132.3540187644036,0.1,131.7666743513187,0.1,132.7807597017482
0.1659586907437561,132.3537612645723,0.1659586907437561,132.3537612645723,0.1659586907437561,132.3537612645723,0.1659586907437561,131.7664575303565,0.1659586907437561,132.7804644384142
0.2754228703338167,132.353052130069,0.2754228703338167,132.353052130069,0.2754228703338167,132.353052130069,0.2754228703338167,131.7658604117968,0.2754228703338167,132.7796513194324
0.4570881896148751,132.3510996098906,0.4570881896148751,132.3510996098906,0.4570881896148751,132.3510996098906,0.4570881896148751,131.7642162350449,0.4570881896148751,132.777412590546
0.7585775750291839,132.3457264566578,0.7585775750291839,132.3457264566578,0.7585775750291839,132.3457264566578,0.7585775750291839,131.7596910116958,0.7585775750291839,132.7712525788437
1.258925411794168,132.3309618407623,1.258925411794168,132.3309618407623,1.258925411794168,132.3309618407623,1.258925411794168,131.7472518341319,1.258925411794168,132.7543315314007
2.08929613085404,132.2905543213497,2.08929613085404,132.2905543213497,2.08929613085404,132.2905543213497,2.08929613085404,131.7131745574735,2.08929613085404,132.7080650906425
3.467368504525318,132.181168107553,3.467368504525318,132.181168107553,3.467368504525318,132.181168107553,3.467368504525318,131.6206772572785,3.467368504525318,132.5831275452208
5.754399373371571,131.8934036886519,5.754399373371571,131.8934036886519,5.754399373371571,131.8934036886519,5.754399373371571,131.3756560130954,5.754399373371571,132.2565184503313
9.549925860214364,131.1871853285218,9.549925860214364,131.1871853285218,9.549925860214364,131.1871853285218,9.549925860214364,130.76457600919,9.549925860214364,131.4663945940017
15.84893192461114,129.6846757308865,15.84893192461114,129.6846757308865,15.84893192461114,129.6846757308865,15.84893192461114,129.4243738970339,15.84893192461114,129.8283858614681
26.30267991895383,127.1186755276322,26.30267991895383,127.1186755276322,26.30267991895383,127.1186755276322,26.30267991895383,127.0406414010509,26.30267991895383,127.1207324904948
43.65158322401662,123.6380197401201,43.65158322401662,123.6380197401201,43.65158322401662,123.6380197401201,43.65158322401662,123.6892976492126,43.65158322401662,123.5457203975722
72.44359600749904,119.6266555687541,72.44359600749904,119.6266555687541,72.44359600749904,119.6266555687541,72.44359600749904,119.7428206603571,72.44359600749904,119.488796648736
120.2264434617413,115.3768337344763,120.2264434617413,115.3768337344763,120.2264434617413,115.3768337344763,120.2264434617413,115.5199536039191,120.2264434617413,115.2203858447521
199.526231496888,111.0326712681279,199.526231496888,111.0326712681279,199.526231496888,111.0326712681279,199.526231496888,111.1860973947044,199.526231496888,110.8691671129305
331.1311214825913,106.6531236226744,331.1311214825913,106.6531236226744,331.1311214825913,106.6531236226744,331.1311214825913,106.8103642357983,331.1311214825913,106.4870149882102
549.5408738576248,102.2605733224708,549.5408738576248,102.2605733224708,549.5408738576248,102.2605733224708,549.5408738576248,102.4192086547509,549.5408738576248,102.0935133533334
912.0108393559101,97.86328131067563,912.0108393559101,97.86328131067563,912.0108393559101,97.86328131067563,912.0108393559101,98.02242433184672,912.0108393559101,97.69587517568431
1513.561248436209,93.46426494087267,1513.561248436209,93.46426494087267,1513.561248436209,93.46426494087267,1513.561248436209,93.62359246420627,1513.561248436209,93.29673302059635
2511.886431509581,89.06462213365043,2511.886431509581,89.06462213365043,2511.886431509581,89.06462213365043,2511.886431509581,89.22401666832953,2511.886431509581,88.89704453025949
4168.693834703356,84.66475183832954,4168.693834703356,84.66475183832954,4168.693834703356,84.66475183832954,4168.693834703356,84.82417070643459,4168.693834703356,84.49715764655733
6918.309709189368,80.26479895576016,6918.309709189368,80.26479895576016,6918.309709189368,80.26479895576016,6918.309709189368,80.42422665944855,6918.309709189368,80.09719874059431
11481.53621496883,75.86481612805258,11481.53621496883,75.86481612805258,11481.53621496883,75.86481612805258,11481.53621496883,76.02424704050706,11481.53621496883,75.69721372510413
19054.60717963248,71.46482254159385,19054.60717963248,71.46482254159385,19054.60717963248,71.46482254159385,19054.60717963248,71.62425462103717,19054.60717963248,71.2972193421289
31622.77660168381,67.06482536223325,31622.77660168381,67.06482536223325,31622.77660168381,67.06482536223325,31622.77660168381,67.22425787075474,31622.77660168381,66.89722186757504
52480.74602497728,62.66482774148415,52480.74602497728,62.66482774148415,52480.74602497728,62.66482774148415,52480.74602497728,62.82426042058275,52480.74602497728,62.49722412313587
87096.35899560811,58.26483233769626,87096.35899560811,58.26483233769626,87096.35899560811,58.26483233769626,87096.35899560811,58.42426511945747,87096.35899560811,58.09722862896155
144543.9770745928,53.86484428622833,144543.9770745928,53.86484428622833,144543.9770745928,53.86484428622833,144543.9770745928,54.02427721744314,144543.9770745928,53.6972404194217
239883.2919019492,49.46487693710424,239883.2919019492,49.46487693710424,239883.2919019492,49.46487693710424,239883.2919019492,49.62431023154796,239883.2919019492,49.29727266792671
398107.1705534975,45.06496677021747,398107.1705534975,45.06496677021747,398107.1705534975,45.06496677021747,398107.1705534975,45.2244010474946,398107.1705534975,44.89736140480855
660693.4480075964,40.66521414798258,660693.4480075964,40.66521414798258,660693.4480075964,40.66521414798258,660693.4480075964,40.82465112575659,660693.4480075964,40.49760576773261
1096478.196143186,36.26589540103509,1096478.196143186,36.26589540103509,1096478.196143186,36.26589540103509,1096478.196143186,36.42533981374082,1096478.196143186,36.09827871941994
1819700.858609985,31.86777119593656,1819700.858609985,31.86777119593656,1819700.858609985,31.86777119593656,1819700.858609985,32.02723608122646,1819700.858609985,31.70013165571712
3019951.720402018,27.47293356655425,3019951.720402018,27.47293356655425,3019951.720402018,27.47293356655425,3019951.720402018,27.63245480683418,3019951.720402018,27.30523110416175
5011872.336272726,23.08712169212663,5011872.336272726,23.08712169212663,5011872.336272726,23.08712169212663,5011872.336272726,23.24679791347943,5011872.336272726,22.91924619530251
8317637.711026715,18.72597160833805,8317637.711026715,18.72597160833805,8317637.711026715,18.72597160833805,8317637.711026715,18.88607293224218,8317637.711026715,18.55762153754128
13803842.64602886,14.43128537766199,13803842.64602886,14.43128537766199,13803842.64602886,14.43128537766199,13803842.64602886,14.59254465446523,13803842.64602886,14.26164285986049
22908676.52767774,10.30926780621347,22908676.52767774,10.30926780621347,22908676.52767774,10.30926780621347,22908676.52767774,10.47362687966512,22908676.52767774,10.13616598965158
38018939.63205615,6.595918378078709,38018939.63205615,6.595918378078709,38018939.63205615,6.595918378078709,38018939.63205615,6.768285096482608,38018939.63205615,6.41387108697517
63095734.44801937,3.6590412635565,63095734.44801937,3.6590412635565,63095734.44801937,3.6590412635565,63095734.44801937,3.851361491720434,63095734.44801937,3.454595401069924
104712854.80509,1.543099708395599,104712854.80509,1.543099708395599,104712854.80509,1.543099708395599,104712854.80509,1.786380778961599,104712854.80509,1.280878939681851
173780082.8749377,-1.798409444229648,173780082.8749377,-1.798409444229648,173780082.8749377,-1.798409444229648,173780082.8749377,-1.452575673596948,173780082.8749377,-2.177373899297061
288403150.3126608,-9.785011940882542,288403150.3126608,-9.785011940882542,288403150.3126608,-9.785011940882542,288403150.3126608,-9.363148851338472,288403150.3126608,-10.24616118224046
478630092.3226386,-20.40001048711891,478630092.3226386,-20.40001048711891,478630092.3226386,-20.40001048711891,478630092.3226386,-19.89146293022415,478630092.3226386,-20.94420388339244
794328234.724282,-31.87748472512462,794328234.724282,-31.87748472512462,794328234.724282,-31.87748472512462,794328234.724282,-31.26203971302505,794328234.724282,-32.52224598994479
1318256738.556408,-43.47521386645195,1318256738.556408,-43.47521386645195,1318256738.556408,-43.47521386645195,1318256738.556408,-42.75590762295625,1318256738.556408,-44.22026348618145
2187761623.949554,-54.44966445073207,2187761623.949554,-54.44966445073207,2187761623.949554,-54.44966445073207,2187761623.949554,-53.63119607309554,2187761623.949554,-55.29590493938009
3630780547.701016,-64.39673796168977,3630780547.701016,-64.39673796168977,3630780547.701016,-64.39673796168977,3630780547.701016,-63.4969084570175,3630780547.701016,-65.32942959395764
6025595860.743582,-73.32875762633169,6025595860.743582,-73.32875762633169,6025595860.743582,-73.32875762633169,6025595860.743582,-72.36980673652985,6025595860.743582,-74.3239892919074
10000000000,-81.24632838760414,10000000000,-81.24632838760414,10000000000,-81.24632838760414,10000000000,-80.2352274155499,10000000000,-82.29428840720129
