tail current source X,tail current source Y,stg1 amp X,stg1 amp Y,stg1 load X,stg1 load Y,stg2 load X,stg2 load Y,stg2 amp X,stg2 amp Y,/net1 X,/net1 Y
0,2,0,1,0,2,0,2,0,1,0,0.02336994123231639
0.066,2,0.066,1,0.066,2,0.066,2,0.066,1,0.066,0.02356845281592682
0.132,2,0.132,1,0.132,2,0.132,2,0.132,1,0.132,0.02391465632821179
0.198,2,0.198,1,0.198,2,0.198,2,0.198,1,0.198,0.0246663922528947
0.264,2,0.264,1,0.264,2,0.264,2,0.264,1,0.264,0.02931024842213446
0.33,2,0.33,2,0.33,2,0.33,2,0.33,2,0.33,1.657383597778858
0.396,2,0.396,2,0.396,2,0.396,2,0.396,2,0.396,1.657801151995158
0.462,2,0.462,2,0.462,2,0.462,2,0.462,2,0.462,1.658034298803956
0.528,2,0.528,2,0.528,2,0.528,2,0.528,2,0.528,1.658221647949562
0.5940000000000001,2,0.5940000000000001,2,0.5940000000000001,2,0.5940000000000001,2,0.5940000000000001,2,0.5940000000000001,1.658369552646493
0.6600000000000001,2,0.6600000000000001,2,0.6600000000000001,2,0.6600000000000001,2,0.6600000000000001,2,0.6600000000000001,1.658480812646528
0.7260000000000002,2,0.7260000000000002,2,0.7260000000000002,2,0.7260000000000002,2,0.7260000000000002,2,0.7260000000000002,1.658547438561366
0.7920000000000003,2,0.7920000000000003,2,0.7920000000000003,2,0.7920000000000003,2,0.7920000000000003,2,0.7920000000000003,1.658578393688574
0.8580000000000003,2,0.8580000000000003,2,0.8580000000000003,2,0.8580000000000003,2,0.8580000000000003,2,0.8580000000000003,1.658597411225531
0.9240000000000004,2,0.9240000000000004,2,0.9240000000000004,2,0.9240000000000004,2,0.9240000000000004,2,0.9240000000000004,1.658613525324047
0.9900000000000004,2,0.9900000000000004,2,0.9900000000000004,2,0.9900000000000004,2,0.9900000000000004,2,0.9900000000000004,1.658628585554476
1.056,2,1.056,2,1.056,2,1.056,2,1.056,2,1.056,1.658643102087297
1.122000000000001,2,1.122000000000001,2,1.122000000000001,2,1.122000000000001,2,1.122000000000001,2,1.122000000000001,1.658657166059739
1.188000000000001,2,1.188000000000001,2,1.188000000000001,2,1.188000000000001,2,1.188000000000001,2,1.188000000000001,1.658670632413905
1.254000000000001,2,1.254000000000001,2,1.254000000000001,2,1.254000000000001,2,1.254000000000001,2,1.254000000000001,1.658683104949527
1.320000000000001,2,1.320000000000001,2,1.320000000000001,2,1.320000000000001,2,1.320000000000001,2,1.320000000000001,1.658693870735779
1.386000000000001,2,1.386000000000001,2,1.386000000000001,2,1.386000000000001,2,1.386000000000001,2,1.386000000000001,1.658702012163155
1.452000000000001,2,1.452000000000001,2,1.452000000000001,2,1.452000000000001,2,1.452000000000001,2,1.452000000000001,1.658707014179858
1.518000000000001,2,1.518000000000001,2,1.518000000000001,2,1.518000000000001,2,1.518000000000001,2,1.518000000000001,1.658710144802852
1.584000000000001,2,1.584000000000001,2,1.584000000000001,2,1.584000000000001,2,1.584000000000001,2,1.584000000000001,1.658712791591441
1.650000000000001,2,1.650000000000001,2,1.650000000000001,2,1.650000000000001,2,1.650000000000001,2,1.650000000000001,1.658715349520221
1.716000000000001,2,1.716000000000001,2,1.716000000000001,2,1.716000000000001,2,1.716000000000001,2,1.716000000000001,1.658717925178875
1.782000000000001,2,1.782000000000001,2,1.782000000000001,2,1.782000000000001,2,1.782000000000001,2,1.782000000000001,1.658720559487652
1.848000000000001,2,1.848000000000001,2,1.848000000000001,2,1.848000000000001,2,1.848000000000001,2,1.848000000000001,1.658723282370523
1.914000000000001,2,1.914000000000001,2,1.914000000000001,2,1.914000000000001,2,1.914000000000001,2,1.914000000000001,1.658726123682584
1.980000000000001,2,1.980000000000001,2,1.980000000000001,2,1.980000000000001,2,1.980000000000001,2,1.980000000000001,1.658729113623591
2.046000000000001,2,2.046000000000001,2,2.046000000000001,2,2.046000000000001,2,2.046000000000001,2,2.046000000000001,1.658732265210508
2.112000000000001,2,2.112000000000001,2,2.112000000000001,2,2.112000000000001,2,2.112000000000001,2,2.112000000000001,1.658735474192535
2.178000000000001,2,2.178000000000001,2,2.178000000000001,2,2.178000000000001,2,2.178000000000001,2,2.178000000000001,1.658738029854597
2.244000000000001,2,2.244000000000001,2,2.244000000000001,2,2.244000000000001,2,2.244000000000001,2,2.244000000000001,1.658737104343239
2.31,1,2.31,2,2.31,2,2.31,2,2.31,2,2.31,1.658732885953529
2.376,1,2.376,2,2.376,2,2.376,2,2.376,2,2.376,1.658768049624924
2.442,1,2.442,2,2.442,2,2.442,2,2.442,2,2.442,1.65901462923671
2.508,1,2.508,2,2.508,2,2.508,2,2.508,2,2.508,1.662928109144995
2.574,1,2.574,2,2.574,1,2.574,1,2.574,0,2.574,3.299999997930982
2.64,1,2.64,3,2.64,1,2.64,1,2.64,0,2.64,3.299999998533534
2.706,1,2.706,3,2.706,1,2.706,1,2.706,0,2.706,3.299999998584014
2.771999999999999,1,2.771999999999999,3,2.771999999999999,1,2.771999999999999,1,2.771999999999999,0,2.771999999999999,3.299999998589942
2.837999999999999,1,2.837999999999999,3,2.837999999999999,1,2.837999999999999,1,2.837999999999999,0,2.837999999999999,3.299999998590863
2.903999999999999,1,2.903999999999999,0,2.903999999999999,1,2.903999999999999,1,2.903999999999999,0,2.903999999999999,3.299999998591034
2.969999999999999,1,2.969999999999999,0,2.969999999999999,1,2.969999999999999,1,2.969999999999999,0,2.969999999999999,3.299999998591065
3.035999999999999,1,3.035999999999999,0,3.035999999999999,1,3.035999999999999,1,3.035999999999999,0,3.035999999999999,3.299999998591071
3.101999999999999,1,3.101999999999999,0,3.101999999999999,1,3.101999999999999,1,3.101999999999999,0,3.101999999999999,3.299999998591072
3.167999999999998,1,3.167999999999998,0,3.167999999999998,1,3.167999999999998,1,3.167999999999998,0,3.167999999999998,3.299999998591072
3.233999999999998,1,3.233999999999998,0,3.233999999999998,1,3.233999999999998,1,3.233999999999998,0,3.233999999999998,3.299999998591072
3.3,1,3.3,0,3.3,1,3.3,1,3.3,0,3.3,3.299999998591072
